nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
385,Stadler,Sandra,,Die Mitte,"Einfache Anfrage von Sandra Stadler, Roland Wyss, Patrick Siegenthaler, Peter Bühler vom 7. Juni 2023 ""OECD - Geld für bessere Vereinbarkeit von Arbeit, Familie und Bildung - für eine Stärkung der Thurgauer Wirtschaft""",20/EA 212/516,ja
348,Wyss,Roland,,EVP,"Einfache Anfrage von Sandra Stadler, Roland Wyss, Patrick Siegenthaler, Peter Bühler vom 7. Juni 2023 ""OECD - Geld für bessere Vereinbarkeit von Arbeit, Familie und Bildung - für eine Stärkung der Thurgauer Wirtschaft""",20/EA 212/516,nein
392,Siegenthaler,Patrick,,Die Mitte,"Einfache Anfrage von Sandra Stadler, Roland Wyss, Patrick Siegenthaler, Peter Bühler vom 7. Juni 2023 ""OECD - Geld für bessere Vereinbarkeit von Arbeit, Familie und Bildung - für eine Stärkung der Thurgauer Wirtschaft""",20/EA 212/516,nein
392,Siegenthaler,Patrick,,Die Mitte,"Interpellation von Patrick Siegenthaler vom 7. Juni 2023 ""Kosten-Nutzen einer ISO27001-Zertifizierung im AfI Thurgau""",20/IN 46/519,ja
276,Wüst-Singer,Iwan,,EDU,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Martina Pfiffner Müller, Kristiane Vietze, Sandra Stadler, Iwan Wüst, Stephan Tobler, Ueli Fisch, Marina Bruggmann, Erika Hanhart, Bernhard Braun, Christian Stricker vom 21. Juni 2023 ""Hinter Winterthur...""",20/AN 9/523,nein
252,Fisch,Ueli,,GLP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Martina Pfiffner Müller, Kristiane Vietze, Sandra Stadler, Iwan Wüst, Stephan Tobler, Ueli Fisch, Marina Bruggmann, Erika Hanhart, Bernhard Braun, Christian Stricker vom 21. Juni 2023 ""Hinter Winterthur...""",20/AN 9/523,nein
328,Bruggmann,Marina,,SP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Martina Pfiffner Müller, Kristiane Vietze, Sandra Stadler, Iwan Wüst, Stephan Tobler, Ueli Fisch, Marina Bruggmann, Erika Hanhart, Bernhard Braun, Christian Stricker vom 21. Juni 2023 ""Hinter Winterthur...""",20/AN 9/523,nein
387,Stricker,Christian,,EVP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Martina Pfiffner Müller, Kristiane Vietze, Sandra Stadler, Iwan Wüst, Stephan Tobler, Ueli Fisch, Marina Bruggmann, Erika Hanhart, Bernhard Braun, Christian Stricker vom 21. Juni 2023 ""Hinter Winterthur...""",20/AN 9/523,nein
397,Walzthöny,Gabriel,,Die Mitte,"Motion von Gabriel Walzthöny, Mathias Dietz, Patrick Siegenthaler, Christina Fäsi, Priska Peter vom 21. Juni 2023 ""Eigenbetreuung steuerlich sichtbar machen""",20/MO 47/524,ja
357,Dietz,Mathias,,EVP,"Motion von Gabriel Walzthöny, Mathias Dietz, Patrick Siegenthaler, Christina Fäsi, Priska Peter vom 21. Juni 2023 ""Eigenbetreuung steuerlich sichtbar machen""",20/MO 47/524,nein
392,Siegenthaler,Patrick,,Die Mitte,"Motion von Gabriel Walzthöny, Mathias Dietz, Patrick Siegenthaler, Christina Fäsi, Priska Peter vom 21. Juni 2023 ""Eigenbetreuung steuerlich sichtbar machen""",20/MO 47/524,nein
393,Fäsi,Christina,,EVP,"Motion von Gabriel Walzthöny, Mathias Dietz, Patrick Siegenthaler, Christina Fäsi, Priska Peter vom 21. Juni 2023 ""Eigenbetreuung steuerlich sichtbar machen""",20/MO 47/524,nein
336,Dätwyler Weber,Barbara,,SP,"Interpellation von Nicole Zeitner, Sabina Peter Köstli, Martina Pfiffner Müller, Barbara Dätwyler Weber vom 21. Juni 2023 ""Aktueller Stand der Angebotsdatenbank 'Sozialnetz Thurgau'?""",20/IN 47/525,nein
199,Lei,Hermann,,SVP,"Parlamentarische Initiative von Hermann Lei, Pascal Schmid, Marcel Wittwer, Oliver Martin vom 5. Juli 2023 ""Wahrung der politischen, weltanschaulichen und sprachlichen Neutralität des Staates""",20/PI 9/533,ja
363,Martin,Oliver,,SVP,"Parlamentarische Initiative von Hermann Lei, Pascal Schmid, Marcel Wittwer, Oliver Martin vom 5. Juli 2023 ""Wahrung der politischen, weltanschaulichen und sprachlichen Neutralität des Staates""",20/PI 9/533,nein
353,Ricklin,Judith,,SVP,"Parlamentarische Initiative von Judith Ricklin, Pascal Schmid, Urs Schär, Ralph Wattinger vom 5. Juli 2023 ""Keine Discountbussen bei Littering!""",20/PI 10/534,ja
297,Schär,Urs,,SVP,"Parlamentarische Initiative von Judith Ricklin, Pascal Schmid, Urs Schär, Ralph Wattinger vom 5. Juli 2023 ""Keine Discountbussen bei Littering!""",20/PI 10/534,nein
309,Heeb,Hanspeter,,GLP,"Parlamentarische Initiative von Hanspeter Heeb, Jorim Schäfer vom 5. Juli 2023 ""Erleichterter Zugang zu Privatschulen""",20/PI 11/536,ja
372,Schäfer,Jorim,,GLP,"Parlamentarische Initiative von Hanspeter Heeb, Jorim Schäfer vom 5. Juli 2023 ""Erleichterter Zugang zu Privatschulen""",20/PI 11/536,nein
373,Vogel,Simon,,GRÜNE,"Interpellation von Simon Vogel, Marco Rüegg, Josef Gemperle, Elina Müller vom 5. Juli 2023 ""Netto Null 2040 für die kantonale Verwaltung""",20/IN 48/538,ja
28,Gemperle,Josef,,Die Mitte,"Interpellation von Simon Vogel, Marco Rüegg, Josef Gemperle, Elina Müller vom 5. Juli 2023 ""Netto Null 2040 für die kantonale Verwaltung""",20/IN 48/538,nein
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld, Jost Rüegg vom 5. Juli 2023 ""Stromfresser Strassenbeleuchtung?""",20/EA 215/539,ja
336,Dätwyler Weber,Barbara,,SP,"Einfache Anfrage von Barbara Dätwyler Weber, Andreas Wirth, Didi Feuerle vom 5. Juli 2023 ""Rasante Entwicklung der Zahlen von UMA's - kann der Kanton Thurgau Schritt halten?""",20/EA 216/540,ja
282,Feuerle,Didi,,GRÜNE,"Einfache Anfrage von Barbara Dätwyler Weber, Andreas Wirth, Didi Feuerle vom 5. Juli 2023 ""Rasante Entwicklung der Zahlen von UMA's - kann der Kanton Thurgau Schritt halten?""",20/EA 216/540,nein
152,Wohlfender-Oertig,Edith,,SP,"Einfache Anfrage von Peter Dransfeld, Edith Wohlfender vom 5. Juli 2023 ""Der Fall Haehner und die Hausarztversorgung im Thurgau""",20/EA 218/542,nein
290,Rickenbach,Elisabeth,,EVP,"Einfache Anfrage von Edith Wohlfender, Elisabeth Rickenbach vom 5. Juli 2023 ""Neue Grundversorgungsmodelle für Hausarztmedizin und ambulante Pflege - was will der Kanton?""",20/EA 219/543,nein
363,Martin,Oliver,,SVP,"Einfache Anfrage von Oliver Martin, Hermann Lei vom 5. Juli 2023 ""zu den aktuellen Verhandlungen der Weltgesundheitsorganisation (WHO) und deren Folgen für den Kanton Thurgau""",20/EA 220/544,ja
244,Koch,Paul,,SVP,"Einfache Anfrage von Paul Koch vom 5. Juli 2023 ""Unentgeltliche Rechtspflege - zu kostspielig?""",20/EA 221/545,ja
326,Zecchinel,Cornelia,,FDP,"Parlamentarische Initiative von Cornelia Zecchinel, Simon Wolfer, Nina Schläfli, Cornelia Hauser, Reto Ammann, Martina Pfiffner Müller vom 16. August 2023 ""Anpassung Ruhetagsgesetz""",20/PI 12/552,ja
341,Wolfer,Simon,,Die Mitte,"Parlamentarische Initiative von Cornelia Zecchinel, Simon Wolfer, Nina Schläfli, Cornelia Hauser, Reto Ammann, Martina Pfiffner Müller vom 16. August 2023 ""Anpassung Ruhetagsgesetz""",20/PI 12/552,nein
251,Feuz,Hans,,Die Mitte,"Motion von Reto Ammann, Anders Stokholm, Markus Birk, Hans Feuz, Didi Feuerle, Sabina Peter Köstli, Gabriel Macedo, Nina Schläfli vom 16. August 2023 ""Gemeindeautonomie und das Milizsystem stärken, die Idee aus der Bundesverfassung in die Kantonsverfassung übertragen""",20/MO 49/553,nein
320,Schläfli,Nina,,SP,"Motion von Reto Ammann, Anders Stokholm, Markus Birk, Hans Feuz, Didi Feuerle, Sabina Peter Köstli, Gabriel Macedo, Nina Schläfli vom 16. August 2023 ""Gemeindeautonomie und das Milizsystem stärken, die Idee aus der Bundesverfassung in die Kantonsverfassung übertragen""",20/MO 49/553,nein
322,Schmid,Pascal,,SVP,"Interpellation von Pascal Schmid, Hermann Lei vom 16. August 2023 ""Konsequente Landesverweisung""",20/IN 49/554,ja
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld vom 16. August 2023 ""Felchenfang am Untersee""",20/EA 228/558,ja
359,Hauser,Cornelia,,GRÜNE,"Einfache Anfrage von Cornelia Hauser, Jacob Auer vom 30. August 2023 ""Ein kantonales Tierheim für den Thurgau""",20/EA 229/560,ja
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld vom 2. Oktober 2023 ""Quo Vadis BBM?""",20/EA 234/575,ja
290,Rickenbach,Elisabeth,,EVP,"Interpellation von Elisabeth Rickenbach, Roland Wyss, Mathias Dietz, Christian Stricker, Christina Fäsi, Roger Stieger vom 2. Oktober 2023 ""Gerechtere Wahlen dank doppeltem Pukelsheim ermöglichen""",20/IN 54/580,ja
