nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
152,Wohlfender-Oertig,Edith,,SP,"Einfache Anfrage von Edith Wohlfender vom 25. Januar 2023 ""Medizinische und pflegerische Versorgung von älteren geflüchteten Menschen mit Langzeiterkrankungen. Was sieht der Kanton vor?""",20/EA 185/455,ja
322,Schmid,Pascal,,SVP,"Einfache Anfrage von Pascal Schmid, Denise Neuweiler vom 15. Februar 2023 ""Zunahme von Raubüberfällen: Wildwest im Osten?""",20/EA 188/461,ja
328,Bruggmann,Marina,,SP,"Einfache Anfrage von Turi Schallenberg, Marina Bruggmann vom 1. März 2023 ""Pensionskassen-Vorbezug in der Sozialhilfe""",20/EA 192/469,nein
363,Martin,Oliver,,SVP,"Einfache Anfrage von Oliver Martin vom 1. März 2023 ""'Starke und intakte Familien sind das Rückgrat unseres Landes' Wie werden psychisch gesunde Familien im Kanton gefördert?""",20/EA 193/470,ja
369,Reinhart,Sandra,,GRÜNE,"Einfache Anfrage von Sandra Reinhart vom 1. März 2023 ""Abstand ist Anstand - auch im Thurgau?""",20/EA 194/471,ja
28,Gemperle,Josef,,Die Mitte,"Motion von Josef Gemperle, Beat Pretali, Marina Bruggmann, Simon Vogel, Marco Rüegg, Roland Wyss, Stefan Leuthold, Kilian Imhof, Cornelia Hasler vom 1. März 2023 ""Gesetzliche Grundlagen für die Windenergie im Thurgau schaffen zur Sicherstellung einer nachhaltigen Energieversorgung und zum Nutzen für die Thurgauer Bevölkerung""",20/MO 43/474,ja
348,Wyss,Roland,,EVP,"Motion von Josef Gemperle, Beat Pretali, Marina Bruggmann, Simon Vogel, Marco Rüegg, Roland Wyss, Stefan Leuthold, Kilian Imhof, Cornelia Hasler vom 1. März 2023 ""Gesetzliche Grundlagen für die Windenergie im Thurgau schaffen zur Sicherstellung einer nachhaltigen Energieversorgung und zum Nutzen für die Thurgauer Bevölkerung""",20/MO 43/474,nein
28,Gemperle,Josef,,Die Mitte,"Interpellation von Elina Müller, Josef Gemperle, Simon Vogel, Stefan Leuthold vom 1. März 2023 ""Energetische Nutzung der Biomasse Thurgau""",20/IN 41/475,nein
283,Auer,Jacob,,SP,"Einfache Anfrage von Jacob Auer vom 22. März 2023 ""12 Stunden chrampfen - ohne Lohn""",20/EA 197/480,ja
320,Schläfli,Nina,,SP,"Einfache Anfrage von Nina Schläfli, Elina Müller vom 22. März 2023 ""Geschwindigkeitskontrollen in Tempo-30-Zonen""",20/EA 198/481,ja
314,Müller,Mathis,,GRÜNE,"Interpellation von Mathis Müller, Didi Feuerle, Jacob Auer vom 22. März 2023 ""Bibermanagement im Kanton Thurgau""",20/IN 42/482,ja
282,Feuerle,Didi,,GRÜNE,"Interpellation von Mathis Müller, Didi Feuerle, Jacob Auer vom 22. März 2023 ""Bibermanagement im Kanton Thurgau""",20/IN 42/482,nein
283,Auer,Jacob,,SP,"Einfache Anfrage von Jacob Auer vom 22. März 2023 ""Amt für Umwelt in Hefenhofen""",20/EA 199/483,ja
65,Lüscher,Bruno,,FDP,"Einfache Anfrage von Bruno Lüscher, Christina Fäsi vom 19. April 2023 ""Versorgungslage für ambulante, klinische Logopädietherapie""",20/EA 201/495,ja
393,Fäsi,Christina,,EVP,"Einfache Anfrage von Bruno Lüscher, Christina Fäsi vom 19. April 2023 ""Versorgungslage für ambulante, klinische Logopädietherapie""",20/EA 201/495,nein
347,Madörin,Lukas,,EDU,"Einfache Anfrage von Marcel Wittwer, Christian Mader, Peter Schenk, Lukas Madörin vom 19. April 2023 ""Spiel mit dem Feuer: Vereinfachte Geschlechtsänderung und Körperumbau""",20/EA 203/497,nein
397,Walzthöny,Gabriel,,Die Mitte,"Interpellation von Josef Gemperle, Gabriel Walzthöny vom 19. April 2023 ""WILWEST - Verkehrsverlagerung auf drei Hauptverkehrsachsen""",20/IN 43/498,nein
284,Rüegg,Jost,,GRÜNE,"Einfache Anfrage von Jost Rüegg vom 3. Mai 2023 ""Gefährdetes Grundwasser/Trinkwasser im Raum Warth?""",20/EA 204/504,ja
152,Wohlfender-Oertig,Edith,,SP,"Einfache Anfrage von Edith Wohlfender, Nicole Zeitner, Stefan Leuthold vom 3. Mai 2023 ""Wie fördert der Kanton die Ausbildung von Hebammen?""",20/EA 205/505,ja
