startzeit,endzeit,messstelle,messwert,messstationid,indikator
2025-09-18T03:00:00+00:00,2025-09-18T04:00:00+00:00,"Konstanz, Wallgutstrasse",5.51,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T04:00:00+00:00,2025-09-18T05:00:00+00:00,"Konstanz, Wallgutstrasse",7.18,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T05:00:00+00:00,2025-09-18T06:00:00+00:00,"Konstanz, Wallgutstrasse",11.7,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,"Konstanz, Wallgutstrasse",26.95,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T08:00:00+00:00,2025-09-18T09:00:00+00:00,"Konstanz, Wallgutstrasse",10.87,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T10:00:00+00:00,2025-09-18T11:00:00+00:00,"Konstanz, Wallgutstrasse",6.32,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T13:00:00+00:00,2025-09-18T14:00:00+00:00,"Konstanz, Wallgutstrasse",6.42,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T14:00:00+00:00,2025-09-18T15:00:00+00:00,"Konstanz, Wallgutstrasse",10.68,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T15:00:00+00:00,2025-09-18T16:00:00+00:00,"Konstanz, Wallgutstrasse",6.29,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T17:00:00+00:00,2025-09-18T18:00:00+00:00,"Konstanz, Wallgutstrasse",12.24,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T19:00:00+00:00,2025-09-18T20:00:00+00:00,"Konstanz, Wallgutstrasse",15.81,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-19T01:00:00+00:00,2025-09-19T02:00:00+00:00,"Konstanz, Wallgutstrasse",7.07,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-19T15:00:00+00:00,2025-09-19T16:00:00+00:00,"Konstanz, Wallgutstrasse",6.6,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-19T18:00:00+00:00,2025-09-19T19:00:00+00:00,"Konstanz, Wallgutstrasse",12.33,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-19T23:00:00+00:00,2025-09-20T00:00:00+00:00,"Konstanz, Wallgutstrasse",14.3,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T00:00:00+00:00,2025-09-18T01:00:00+00:00,"Konstanz, Wallgutstrasse",0.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T02:00:00+00:00,2025-09-18T03:00:00+00:00,"Konstanz, Wallgutstrasse",0.63,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T03:00:00+00:00,2025-09-18T04:00:00+00:00,"Konstanz, Wallgutstrasse",0.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T04:00:00+00:00,2025-09-18T05:00:00+00:00,"Konstanz, Wallgutstrasse",1.01,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T05:00:00+00:00,2025-09-18T06:00:00+00:00,"Konstanz, Wallgutstrasse",2.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,"Konstanz, Wallgutstrasse",18.85,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T07:00:00+00:00,2025-09-18T08:00:00+00:00,"Konstanz, Wallgutstrasse",10.76,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T09:00:00+00:00,2025-09-18T10:00:00+00:00,"Konstanz, Wallgutstrasse",4.71,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T11:00:00+00:00,2025-09-18T12:00:00+00:00,"Konstanz, Wallgutstrasse",2.17,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T13:00:00+00:00,2025-09-18T14:00:00+00:00,"Konstanz, Wallgutstrasse",1.6,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T14:00:00+00:00,2025-09-18T15:00:00+00:00,"Konstanz, Wallgutstrasse",2.61,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T18:00:00+00:00,2025-09-18T19:00:00+00:00,"Konstanz, Wallgutstrasse",0.67,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T19:00:00+00:00,2025-09-18T20:00:00+00:00,"Konstanz, Wallgutstrasse",0.6,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-18T20:00:00+00:00,2025-09-18T21:00:00+00:00,"Konstanz, Wallgutstrasse",1.14,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T01:00:00+00:00,2025-09-19T02:00:00+00:00,"Konstanz, Wallgutstrasse",0.78,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T05:00:00+00:00,2025-09-19T06:00:00+00:00,"Konstanz, Wallgutstrasse",4.38,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T09:00:00+00:00,2025-09-19T10:00:00+00:00,"Konstanz, Wallgutstrasse",5.37,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T11:00:00+00:00,2025-09-19T12:00:00+00:00,"Konstanz, Wallgutstrasse",2.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T16:00:00+00:00,2025-09-19T17:00:00+00:00,"Konstanz, Wallgutstrasse",2.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T17:00:00+00:00,2025-09-19T18:00:00+00:00,"Konstanz, Wallgutstrasse",0.75,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T19:00:00+00:00,2025-09-19T20:00:00+00:00,"Konstanz, Wallgutstrasse",0.82,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
2025-09-19T22:00:00+00:00,2025-09-19T23:00:00+00:00,"Konstanz, Wallgutstrasse",3.07,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffmonoxid
