timestamp,g107_no2,g107_03,g107_pm25,g125_no2,g125_o3,g125_pm25,g131_no2,g131_o3,g131_pm25,timestamp_text,anfangszeit
2023-05-21T14:00:00+00:00,5.7,104.1,13.9,5.5,98.4,14.8,13.0,89.2,13.3,2023-05-21T16:00:00+0200,21.05.2023 16:00:00
2023-05-20T11:00:00+00:00,15.9,43.7,9.7,13.4,34.1,10.1,16.1,29.5,9.8,2023-05-20T13:00:00+0200,20.05.2023 13:00:00
2023-05-26T16:30:00+00:00,10.3,118.7,8.5,10.1,111.9,8.3,15.3,108.3,7.4,2023-05-26T18:30:00+0200,26.05.2023 18:30:00
2023-05-26T18:30:00+00:00,8.8,118.1,8.5,17.6,103.3,8.8,19.9,103.3,8.1,2023-05-26T20:30:00+0200,26.05.2023 20:30:00
2023-05-26T21:30:00+00:00,14.7,67.0,9.8,19.3,53.1,11.3,21.8,48.1,13.2,2023-05-26T23:30:00+0200,26.05.2023 23:30:00
2023-05-26T22:30:00+00:00,9.8,65.2,10.3,13.0,51.3,10.7,11.5,55.5,11.2,2023-05-27T00:30:00+0200,27.05.2023 00:30:00
2023-05-23T05:00:00+00:00,26.0,24.1,18.1,25.4,20.7,18.9,49.5,30.7,18.7,2023-05-23T07:00:00+0200,23.05.2023 07:00:00
2023-05-23T10:30:00+00:00,5.4,90.0,39.4,1.5,84.4,39.1,13.4,72.2,38.8,2023-05-23T12:30:00+0200,23.05.2023 12:30:00
2023-05-24T01:30:00+00:00,4.4,68.4,11.3,3.3,57.1,11.7,3.3,55.9,11.2,2023-05-24T03:30:00+0200,24.05.2023 03:30:00
2023-05-23T12:00:00+00:00,4.8,99.2,31.7,12.8,84.8,32.3,9.6,88.4,31.2,2023-05-23T14:00:00+0200,23.05.2023 14:00:00
2023-05-22T01:30:00+00:00,16.1,27.3,13.1,13.4,16.4,14.0,14.7,12.6,12.7,2023-05-22T03:30:00+0200,22.05.2023 03:30:00
2023-05-23T18:30:00+00:00,5.4,108.5,6.7,11.3,93.0,6.9,14.5,90.8,6.2,2023-05-23T20:30:00+0200,23.05.2023 20:30:00
2023-05-23T21:00:00+00:00,21.0,90.0,8.4,25.1,72.4,8.8,28.1,65.8,8.0,2023-05-23T23:00:00+0200,23.05.2023 23:00:00
2023-05-22T07:00:00+00:00,44.0,22.1,9.8,40.0,27.9,10.0,74.8,41.5,10.1,2023-05-22T09:00:00+0200,22.05.2023 09:00:00
2023-05-23T23:00:00+00:00,2.5,82.4,11.1,2.7,73.0,11.6,2.9,72.4,10.7,2023-05-24T01:00:00+0200,24.05.2023 01:00:00
2023-05-22T13:30:00+00:00,30.8,77.2,4.8,17.2,84.8,5.0,30.4,71.6,4.5,2023-05-22T15:30:00+0200,22.05.2023 15:30:00
2023-05-22T15:00:00+00:00,32.9,78.8,7.6,23.1,88.8,7.7,28.3,82.6,6.9,2023-05-22T17:00:00+0200,22.05.2023 17:00:00
2023-05-23T09:00:00+00:00,68.3,50.3,39.9,22.4,44.9,39.7,37.5,42.9,39.4,2023-05-23T11:00:00+0200,23.05.2023 11:00:00
2023-05-25T00:30:00+00:00,5.9,56.1,4.7,6.1,44.7,4.8,7.3,42.1,4.7,2023-05-25T02:30:00+0200,25.05.2023 02:30:00
2023-05-28T00:00:00+00:00,8.4,56.5,9.1,5.2,49.9,9.6,3.1,49.3,8.8,2023-05-28T02:00:00+0200,28.05.2023 02:00:00
2023-05-28T10:00:00+00:00,4.0,89.8,7.0,1.7,83.6,7.1,6.3,84.2,7.2,2023-05-28T12:00:00+0200,28.05.2023 12:00:00
2023-05-28T15:00:00+00:00,9.0,110.7,5.7,6.1,109.1,5.9,7.6,106.9,5.3,2023-05-28T17:00:00+0200,28.05.2023 17:00:00
2023-06-02T16:00:00+00:00,18.2,105.5,6.4,7.5,112.3,6.5,15.5,101.3,6.0,2023-06-02T18:00:00+0200,02.06.2023 18:00:00
2023-06-02T16:30:00+00:00,7.5,118.1,6.3,6.1,114.9,6.5,19.9,102.1,5.6,2023-06-02T18:30:00+0200,02.06.2023 18:30:00
2023-06-02T22:30:00+00:00,7.5,75.2,7.2,9.0,57.3,7.5,12.2,52.5,7.7,2023-06-03T00:30:00+0200,03.06.2023 00:30:00
2023-06-03T23:30:00+00:00,7.5,61.4,9.6,6.5,50.7,10.8,11.7,45.5,12.1,2023-06-04T01:30:00+0200,04.06.2023 01:30:00
2023-06-04T00:30:00+00:00,6.5,54.7,9.8,3.1,44.3,10.8,2.3,43.7,9.8,2023-06-04T02:30:00+0200,04.06.2023 02:30:00
2023-06-04T08:30:00+00:00,1.7,77.2,9.6,1.7,69.4,9.9,1.5,63.4,9.1,2023-06-04T10:30:00+0200,04.06.2023 10:30:00
2023-06-04T17:00:00+00:00,11.3,96.2,9.4,11.3,90.2,6.8,19.9,78.2,5.2,2023-06-04T19:00:00+0200,04.06.2023 19:00:00
2023-06-05T14:00:00+00:00,17.6,101.9,6.1,9.2,107.7,6.2,22.2,86.0,5.7,2023-06-05T16:00:00+0200,05.06.2023 16:00:00
2023-06-05T19:00:00+00:00,17.0,95.8,6.5,21.2,88.2,6.9,27.0,79.4,6.3,2023-06-05T21:00:00+0200,05.06.2023 21:00:00
2023-06-05T19:30:00+00:00,17.4,91.8,6.3,14.9,90.6,6.9,30.8,73.2,6.1,2023-06-05T21:30:00+0200,05.06.2023 21:30:00
2023-06-06T20:00:00+00:00,23.7,59.1,5.6,21.4,56.5,6.7,23.7,49.9,7.1,2023-06-06T22:00:00+0200,06.06.2023 22:00:00
2023-06-07T00:00:00+00:00,18.2,57.7,6.8,10.5,51.7,7.2,5.7,50.3,6.2,2023-06-07T02:00:00+0200,07.06.2023 02:00:00
2023-06-05T17:00:00+00:00,9.6,116.3,5.8,10.9,114.5,6.0,35.6,84.0,5.7,2023-06-05T19:00:00+0200,05.06.2023 19:00:00
2023-06-05T18:30:00+00:00,14.3,107.7,6.5,21.2,95.4,6.9,31.4,78.8,6.0,2023-06-05T20:30:00+0200,05.06.2023 20:30:00
2023-06-07T02:00:00+00:00,13.8,53.3,6.6,7.6,48.3,7.2,4.8,47.3,6.0,2023-06-07T04:00:00+0200,07.06.2023 04:00:00
2023-06-07T03:30:00+00:00,15.7,45.3,8.0,9.2,39.7,8.9,5.9,40.7,7.7,2023-06-07T05:30:00+0200,07.06.2023 05:30:00
2023-06-06T10:30:00+00:00,1.0,98.0,4.7,8.2,86.8,4.8,17.0,78.0,4.5,2023-06-06T12:30:00+0200,06.06.2023 12:30:00
2023-06-06T15:00:00+00:00,29.4,90.8,5.1,32.1,93.4,4.4,30.8,74.8,4.1,2023-06-06T17:00:00+0200,06.06.2023 17:00:00
2023-06-08T04:00:00+00:00,7.3,66.2,6.9,7.6,55.9,7.6,23.3,39.3,6.5,2023-06-08T06:00:00+0200,08.06.2023 06:00:00
2023-06-04T12:00:00+00:00,2.3,95.8,5.9,0.8,95.4,6.3,3.6,81.8,6.0,2023-06-04T14:00:00+0200,04.06.2023 14:00:00
2023-06-05T00:00:00+00:00,9.6,49.1,7.2,2.7,45.9,7.8,5.5,41.1,7.0,2023-06-05T02:00:00+0200,05.06.2023 02:00:00
2023-06-28T02:30:00+00:00,3.1,54.5,2.8,4.2,46.3,3.0,1.5,36.5,2.7,2023-06-28T04:30:00+0200,28.06.2023 04:30:00
2023-06-28T08:00:00+00:00,29.4,36.5,3.9,13.0,31.9,4.0,28.7,29.9,4.0,2023-06-28T10:00:00+0200,28.06.2023 10:00:00
2023-06-28T12:30:00+00:00,6.5,89.2,2.8,6.7,83.2,2.9,12.4,68.6,2.8,2023-06-28T14:30:00+0200,28.06.2023 14:30:00
2023-06-28T18:30:00+00:00,6.5,84.4,2.6,12.6,79.0,2.9,23.9,61.2,2.8,2023-06-28T20:30:00+0200,28.06.2023 20:30:00
2022-02-24T08:30:00+00:00,37.5,10.2,25.5,38.4,33.7,23.4,32.3,9.6,24.8,2022-02-24T09:30:00+0100,24.02.2022 09:30:00
2022-03-02T04:30:00+00:00,27.2,21.7,24.7,31.0,7.2,21.7,25.6,15.0,23.7,2022-03-02T05:30:00+0100,02.03.2022 05:30:00
2022-03-03T08:30:00+00:00,22.9,24.5,43.2,22.9,8.6,40.4,18.0,17.8,42.5,2022-03-03T09:30:00+0100,03.03.2022 09:30:00
2022-03-03T10:30:00+00:00,10.9,48.9,43.4,8.2,37.5,39.8,11.3,39.5,43.6,2022-03-03T11:30:00+0100,03.03.2022 11:30:00
2022-03-03T12:30:00+00:00,14.3,73.0,37.9,14.9,63.6,35.4,10.5,66.0,37.7,2022-03-03T13:30:00+0100,03.03.2022 13:30:00
2022-03-03T17:30:00+00:00,18.5,77.8,16.2,23.3,61.0,15.5,26.4,61.6,17.7,2022-03-03T18:30:00+0100,03.03.2022 18:30:00
2022-03-04T01:00:00+00:00,13.2,34.3,40.7,13.6,15.6,37.5,8.6,24.1,41.2,2022-03-04T02:00:00+0100,04.03.2022 02:00:00
