obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
22960042,2025-06-25T23:00:00+00:00,10.55,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-06-28T23:00:00+00:00,10.59,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-07T23:00:00+00:00,10.69,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-08T23:00:00+00:00,10.7,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-14T23:00:00+00:00,10.75,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-22T23:00:00+00:00,10.86,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-23T23:00:00+00:00,10.89,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-07-28T23:00:00+00:00,10.95,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-02T23:00:00+00:00,11.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-03T23:00:00+00:00,11.06,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-10T23:00:00+00:00,11.15,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-16T23:00:00+00:00,11.25,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-19T23:00:00+00:00,11.29,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-24T23:00:00+00:00,11.35,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-08-31T23:00:00+00:00,11.46,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-01T23:00:00+00:00,11.46,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-03T23:00:00+00:00,11.51,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-05T23:00:00+00:00,11.55,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-08T23:00:00+00:00,11.6,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-11T23:00:00+00:00,11.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-13T23:00:00+00:00,11.67,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
