datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2017-03-29,2017-12-20,16/VI 2/89,89,"Thurgauische Volksinitiative ""Verbot der Baujagd mit Hunden""",Volksinitiative,,"Initiativen, Referenden",,,Abgeschlossen,Staatskanzlei,,,,
2017-04-19,2017-06-28,16/BS 11/93,93,Geschäftsbericht 2016 der Gebäudeversicherung Thurgau sowie Eigentümerstrategie,Beschluss,,"TGV, Feuerversicherung",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2017-03-29,2017-06-14,16/EA 29/95,95,"Einfache Anfrage von Elisabeth Rickenbach vom 29. März 2017 ""Schwarze Lungen lassen sich nicht einfach wegwaschen""",Einfache Anfrage,,"Heilmittel, Betäubungsmittel, Suchtprobleme",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2017-04-19,2017-08-16,16/BS 12/96,96,Rechenschaftsbericht 2016 des Verwaltungsgerichts,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2017-04-19,2018-09-12,16/IN 9/105,105,"Interpellation von Marianne Sax vom 19. April 2017 ""Tempo 30 auf Kantonsstrassen innerorts""",Interpellation,,"Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,Abgeschlossen,Departement für Bau und Umwelt,1,33,34,
2017-04-19,2017-06-28,16/EA 30/107,107,"Einfache Anfrage von Peter Dransfeld vom 19. April 2017 ""Harmonisierte Baubegriffe in der Sackgasse?""",Einfache Anfrage,,"Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2017-04-19,2017-06-28,16/EA 31/108,108,"Einfache Anfrage von Mathias Tschanen vom 19. April 2017 ""Stand Vorgehen Kantonaler Richtplan""",Einfache Anfrage,,"Raumplanung, Richtpläne",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2017-04-19,2017-06-28,16/EA 32/109,109,"Einfache Anfrage von David Zimmermann und Hanspeter Gantenbein vom 19. April 2017 ""Bund schlägt Studie in den Wind""",Einfache Anfrage,,"Andere Energien: Gas, Fernwärme, Solarenergie etc.",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,,,
2017-05-03,2018-05-02,16/MO 6/110,110,"Motion von Hanspeter Gantenbein, Walter Marty, Hermann Lei und Pascal Schmid vom 3. Mai 2017 ""Einführung eines bargeldlosen Zahlungssystems zur Bekämpfung des Missbrauchs von Sozialhilfegeldern durch Asylsuchende und andere Bezüger""",Motion,,"Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,Abgeschlossen,Departement für Finanzen und Soziales,4,55,59,
2017-05-03,2018-02-14,16/IN 11/112,112,"Interpellation von Kurt Egger, Peter Dransfeld, Daniel Eugster und Josef Gemperle vom 3. Mai 2017 ""Gute Alternativen zu Minergie-P""",Interpellation,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,4,75,79,
2017-05-03,2018-06-27,16/IN 12/113,113,"Interpellation von Hanspeter Gantenbein vom 3. Mai 2017 ""Zunehmende Schere beim Lohn und den Sozialleistungen zwischen Staat und Gewerbe/Industrie beziehungsweise Landwirtschaft""",Interpellation,,Staatspersonal: einzelne Personalentscheide,,,Abgeschlossen,Departement für Finanzen und Soziales,1,41,42,
2017-06-14,2017-12-06,16/GE 11/119,119,Gesetz betreffend die Änderung des Gesetzes über die Familienzulagen,Gesetz,,Familien- und Kinderzulagen,,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2017-06-14,2017-08-16,16/BS 14/120,120,Rechenschaftsbericht 2016 der Rekurskommission in Anwaltssachen,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2017-06-14,2018-10-01,16/IN 13/121,121,"Interpellation von Hanspeter Heeb vom 14. Juni 2017 ""Überprüfung der Bürgerfreundlichkeit der Steuerpraxis""",Interpellation,,"Staats- und Gemeindesteuern, allgemeine Organisation",,,Abgeschlossen,Departement für Finanzen und Soziales,1,18,19,
2017-06-14,2017-08-30,16/IN 14/122,122,"Interpellation von Stephan Tobler vom 14. Juni 2017 ""Wie weiter mit der Fachhochschule Ostschweiz (FHO)?""",Interpellation,,"Hochschulen: Universitäten, Technika, Höhere Fachschule",,,Abgeschlossen,Departement für Erziehung und Kultur,1,61,62,
2017-08-16,2018-10-01,16/IN 16/131,131,"Interpellation von Peter Bühler, Max Möckli, Daniel Vetterli, Robert Meyer, Peter Dransfeld und Wolfgang Ackerknecht vom 16. August 2017 ""Lokale Medien im Thurgau - Partner oder Störenfriede?""",Interpellation,,Kantonsverfassung und Staatsverträge,,,Abgeschlossen,Departement für Finanzen und Soziales,6,53,59,
2017-08-16,2018-08-29,16/IN 17/132,132,"Interpellation von Josef Gemperle, Marlise Bornhauser, Andreas Guhl, Toni Kappeler, Stefan Leuthold, Elisabeth Rickenbach, Nina Schläfli, Anders Stokholm und Stephan Tobler vom 16. August 2017 ""Thurgauer Beitrag zur Energiestrategie 2050""",Interpellation,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,9,57,66,
2017-08-16,2018-12-05,16/IN 19/134,134,"Interpellation von Pascal Schmid vom 16. August 2017 ""Missstände bei der Durchsetzung des Tierschutzrechts?""",Interpellation,,"Natur-, Pflanzen-, Tierschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,34,35,
2017-10-02,2017-12-06,16/BS 16/145,145,Voranschlag 2018 und Finanzplan 2019 - 2021,Beschluss,,"Budget, Finanzplan, Staatsrechnung",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2017-10-02,2018-03-28,16/VO 1/147,147,Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Besoldung des Staatspersonals (Besoldungsverordnung),Verordnung,,Staatspersonal: generelle Fragen,,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2017-10-02,2019-01-09,16/IN 21/148,148,"Interpellation von Lucas Orellano und Ueli Fisch vom 2. Oktober 2017 ""Ist das Salzregal noch zeitgemäss und zweckmässig?""",Interpellation,,Salzregal,,,Abgeschlossen,Departement für Finanzen und Soziales,2,25,27,
2017-11-22,2017-11-22,16/WA 35/152,152,Ersatzwahl des Generalstaatsanwalts für den Rest der Amtsdauer,Wahlgeschäft,,"Richterliche Behörden, Anwaltswesen",,,Abgeschlossen,Grosser Rat,,,,
2017-10-25,2018-10-24,16/MO 9/154,154,"Motion von Hanspeter Gantenbein und Peter Schenk vom 25. Oktober 2017 ""Standesinitiative Gleiche Rechte und Pflichten für alle - keine Doppelbürgerschaften für Eingebürgerte""",Motion,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,2,50,52,
2017-10-25,2018-12-19,16/AN 3/155,155,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Brigitta Hartmann und Gina Rüetschi vom 25. Oktober 2017 ""Schutz, Unterbringung und Betreuung von unbegleiteten minderjährigen Asylsuchenden (UMA)""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,"Niederlassung, Aufenthalt, Asyl",,,Abgeschlossen,Departement für Finanzen und Soziales,2,28,30,
2017-11-08,2019-01-09,16/AN 4/159,159,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Kathrin Bünter, Dominik Diezi, Sabina Peter Köstli, Christa Thorner, Alban Imeri Christian Mader, Kurt Egger, Viktor Gschwend und Elisabeth Rickenbach vom 8. November 2017 ""Bericht familien- und schulergänzende Betreuung im Kanton Thurgau""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,9,54,63,
2017-11-22,2018-02-28,16/AN 5/161,161,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Urs Martin und Aline Intergand vom 22. November 2017 ""Bericht über Stellenentwicklung in den Ämtern""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,Staatspersonal: einzelne Personalentscheide,,,Abgeschlossen,Departement für Finanzen und Soziales,2,56,58,
2017-12-20,2017-12-20,16/WA 37/166,166,Amtsgelübde von Kantonsrat Kilian Imhof,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2017-12-20,2018-02-28,16/WE 4/167,167,Kantonales Sport- und Freizeitanlagenkonzept (KASAK),Weitere Geschäfte,,"Turnen und Sport, J+S",,,Abgeschlossen,Departement für Erziehung und Kultur,,,,
2018-01-10,2018-01-10,16/WA 39/169,169,Ersatzwahl eines Mitglieds der Justizkommission für den Rest der Amtdauer,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2017-12-06,2019-01-09,16/IN 27/173,173,"Interpellation von Andrea Vonlanthen, Hanspeter Gantenbein, Aline Indergand und Daniel Vetterli vom 6. Dezember 2017 ""Gestresste Kleinkinder""",Interpellation,,"Unterstufen: Kindergarten, Volks- und Primarschule",,,Abgeschlossen,Departement für Erziehung und Kultur,4,26,30,
2018-01-10,2018-01-10,16/WA 40/177,177,Amtsgelübde von Kantonsrat Christoph Regli,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2018-02-14,2018-02-14,16/EB 7/180,180,Kantonsbürgerrechtsgesuche per 14. Februar 2018,Einbürgerungsgesuch,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2018-01-10,2018-03-28,16/EA 52/182,182,"Einfache Anfrage von Brigitte Kaufmann vom 10. Januar 2018 ""Planungsstand Umbau und Sanierung Gebäude C BBZ Weinfelden""",Einfache Anfrage,,"Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2018-01-24,2018-03-28,16/EA 53/185,185,"Einfache Anfrage von Marina Bruggmann vom 24. Januar 2018 ""Schliessung des IBZ Landschlacht - Wichtiges Entlastungsangebot geht verloren""",Einfache Anfrage,,"Berufe, Ausbildung, Schulen, Spitäler, Anstalten",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2018-02-14,2019-01-23,16/AN 6/191,191,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Urs Martin, Kurt Egger und Sonja Wiesmann vom 14. Februar 2018 ""Strategiebericht Herausforderungen EKT""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,EKT (und NOK),,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,3,66,69,
2018-03-28,2018-05-23,16/WA 42/198,198,Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2018/2019,Wahlgeschäft,,Regierungsrat,,,Abgeschlossen,Grosser Rat,,,,
2018-04-18,2018-04-18,16/EB 8/205,205,Kantonsbürgerrechtsgesuche per 18. April 2018,Einbürgerungsgesuch,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2018-05-23,2018-05-23,16/WA 47/207,207,Amtsgelübde von Generalstaatsanwalt Stefan Haffter,Wahlgeschäft,,"Richterliche Behörden, Anwaltswesen",,,Abgeschlossen,Grosser Rat,,,,
2018-04-18,2018-06-13,16/BS 22/208,208,Geschäftsbericht 2017 der Gebäudeversicherung Thurgau,Beschluss,,"TGV, Feuerversicherung",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2018-03-28,2018-10-24,16/MO 16/212,212,"Motion von Hanspeter Heeb, Kilian Imhof, Andreas Wirth, Marlise Bornhauser und Doris Günter vom 28. März 2018 ""Standesinitiative Integrationskosten""",Motion,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,5,69,74,
2018-03-28,2019-03-13,16/AN 8/214,214,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Nina Schläfli und Sonja Wiesmann vom 28. März 2018 ""Gleicher Lohn für gleichwertige Arbeit""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,Staatspersonal: einzelne Personalentscheide,,,Abgeschlossen,Departement für Finanzen und Soziales,2,31,33,
2018-03-28,2019-05-22,16/IN 30/215,215,"Interpellation von Kurt Egger, Josef Gemperle, Toni Kappeler und Robert Meyer vom 28. März 2018 ""ESP Wil West: ein Beitrag zur Energiestrategie 2050?""",Interpellation,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Bau und Umwelt,4,47,51,
2018-04-18,2018-12-05,16/GE 13/219,219,"Umsetzung der Massnahmen aus dem Projekt ""Haushaltsgleichgewicht 2020 (HG2020)""",Gesetz,,Finanzausgleich,,,Abgeschlossen,,,,,
2018-04-18,2018-12-05,16/VO 2/219,219,Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden,Verordnung,,,,,Abgeschlossen,,,,,
2018-04-18,2018-08-15,16/BS 23/220,220,Rechenschaftsbericht 2017 des Verwaltungsgerichts,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2018-04-18,2018-06-27,16/EA 65/225,225,"Einfache Anfrage von Gina Rüetschi vom 18. April 2018 ""Gebäudeschadstoffe in Liegenschaften""",Einfache Anfrage,,"Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2018-05-23,2018-05-23,16/WA 48/233,233,Ersatzwahl des Präsidiums der Geschäftsprüfungs- und Finanzkommission für den Rest der Amtsdauer,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2018-06-13,2018-10-24,16/BS 25/235,235,Beschluss des Grossen Rates zum Nachtragskredit 2018,Beschluss,,"Finanzhaushalt, Finanzverwaltung und -kontrolle",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2018-06-13,2018-08-29,16/EA 73/244,244,"Einfache Anfrage von Peter Schenk vom 13. Juni 2018 ""Privatrechtliche Anstellung versus öffentlich-rechtliche Anstellung""",Einfache Anfrage,,Staatspersonal: einzelne Personalentscheide,,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2018-06-13,2019-02-27,16/MO 21/247,247,"Motion gemäss § 75 der Geschäftsordnung des Grossen Rates von Petra Kuhn, Aline Indergand und Hermann Lei vom 13. Juni 2018 ""In der Kürze liegt die Würze - Qualitäts- und Effizienzsteigerung dank Regelung der Redezeiten""",Motion,,Grosser Rat,,,Abgeschlossen,Grosser Rat,3,37,40,
2018-06-27,2018-08-29,16/EA 76/251,251,"Einfache Anfrage von Hanspeter Gantenbein und Iwan Wüst vom 27. Juni 2018 ""Die Genitalverstümmelung von Mädchen im Namen der Religion oder Tradition ist ein Verbrechen und muss mit allen Mitteln verfolgt werden""",Einfache Anfrage,,Bundesverfassung / Menschenrechte,,,Abgeschlossen,Departement für Finanzen und Soziales,2,,,
2018-06-27,2018-08-29,16/EA 79/254,254,"Einfache Anfrage von Egon Scherrer vom 27. Juni 2018 ""Stellenmeldepflicht, 19 Berufsgruppen betroffen trotz rekordtiefer Arbeitslosenquote. Warum?""",Einfache Anfrage,,"Arbeitsmarkt, Wirtschaftsförderung",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2018-06-27,2018-08-29,16/EA 80/255,255,"Einfache Anfrage von Nina Schläfli und Marina Bruggmann vom 27. Juni 2018 ""Zu Vernehmlassungsverfahren eingeladene Organisationen""",Einfache Anfrage,,Grosser Rat,,,Abgeschlossen,Staatskanzlei,2,,,
2018-08-15,2019-09-11,16/MO 23/258,258,"Motion von Urs Martin und Hermann Lei vom 15. August 2018 ""Keine Änderung des Zahlungsregimes bei der Arbeitslosenversicherung für Grenzgänger""",Motion,,Arbeitslosenversicherung,,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,50,52,
2018-08-15,2019-10-23,16/IN 33/259,259,"Interpellation von Hanspeter Gantenbein und Hermann Lei vom 15. August 2018 ""Missachtung der Ausschaffungsinitiative auch im Thurgau?""",Interpellation,,"StGB, EG/StGB, Verwaltungsstrafrecht",,,Abgeschlossen,Departement für Justiz und Sicherheit,2,50,52,
2018-09-12,2018-09-12,16/WA 55/264,264,Amtsgelübde von Kantonsrat Martin Nafzger,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2018-08-29,2018-12-19,16/PI 3/266,266,"Parlamentarische Initiative von Urs Martin und Josef Gemperle vom 29. August 2018 ""Gesetzliche Verankerung der bedingten Einzonung""",Parlamentarische Initiative,,"Raumplanung, Richtpläne",,,Abgeschlossen,Departement für Bau und Umwelt,2,35,37,
2018-08-29,2018-11-07,16/EA 84/270,270,"Einfache Anfrage von Daniel Vetterli vom 29. August 2018 ""Desolate Situation auf dem Rundholzmarkt""",Einfache Anfrage,,Forstwesen,,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2018-10-24,2018-10-24,16/EB 10/276,276,Kantonsbürgerrechtsgesuche per 24. Oktober 2018,Einbürgerungsgesuch,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2018-10-01,2018-12-05,16/BS 27/277,277,Voranschlag 2019 und Finanzplan 2020 - 2022,Beschluss,,"Budget, Finanzplan, Staatsrechnung",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2018-10-01,2020-01-08,16/IN 36/278,278,"Interpellation von Stephan Tobler, Pascal Schmid und Gottfried Möckli vom 1. Oktober 2018 ""Handlungsbedarf bei der Polizei?""",Interpellation,,Polizeikorps / interkantonale Zusammenarbeit,,,Abgeschlossen,Departement für Justiz und Sicherheit,3,82,85,
2018-10-01,2018-11-21,16/EA 86/279,279,"Einfache Anfrage von Cornelia Hasler vom 1. Oktober 2018 ""Wohin fliessen die Gelder aus dem Postauto Subventionsbetrug?""",Einfache Anfrage,,"Strassenverkehr, öffentlicher Verkehr auf Strassen",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2018-11-07,2018-11-07,16/WA 56/280,280,Amtsgelübde von Kantonsrat Simon Wolfer,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2018-10-24,2019-04-24,16/MO 28/282,282,"Motion von Katharina Bünter, Alban Imeri, Dominik Diezi, Brigitte Kaufmann, Stefan Leuthold, Elisabeth Rickenbach, Sabina Peter Köstli, Maja Bodenmann und Marina Bruggmann vom 24. Oktober 2018 ""Vereinbarkeit von Familie und Beruf - notwendiger Handlungsbedarf im Kanton Thurgau""",Motion,,"Staats- und Gemeindesteuern, allgemeine Organisation",,,Abgeschlossen,Departement für Finanzen und Soziales,9,56,65,
2018-10-24,2019-01-09,16/EA 88/286,286,"Einfache Anfrage von Egon Scherrer vom 24. Oktober 2018 ""Fahrende im Thurgau, grenzenlose Freiheit auch gegenüber dem Gesetz?""",Einfache Anfrage,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2018-11-07,2019-01-23,16/EA 89/289,289,"Einfache Anfrage von Andrea Vonlanthen, Reto Ammann, Franz Eugster, Daniel Frischknecht und Hans-Jörg Haller vom 7. November 2018 ""Fragwürdige Pilotversuche mit Cannabis""",Einfache Anfrage,,"Heilmittel, Betäubungsmittel, Suchtprobleme",,,Abgeschlossen,Departement für Finanzen und Soziales,5,,,
2018-11-21,2019-02-13,16/EA 91/295,295,"Einfache Anfrage von Daniel Frischknecht vom 21. November 2018 ""Thurgauer Flüchtlingspolitik während der Nazi-Zeit - Ehrliche Aufarbeitung oder verdrängendes Schweigen?""",Einfache Anfrage,,"Niederlassung, Aufenthalt, Asyl",,,Abgeschlossen,Departement für Justiz und Sicherheit,1,,,
2018-11-21,2019-01-23,16/EA 93/297,297,"Einfache Anfrage von Jost Rüegg vom 21. November 2018 ""Fürer-Kult auf Kosten der Allgemeinheit?""",Einfache Anfrage,,"Berufe, Ausbildung, Schulen, Spitäler, Anstalten",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2018-12-05,2019-02-13,16/EA 98/303,303,"Einfache Anfrage von Marianne Sax und Mathis Müller vom 5. Dezember 2018 ""Das grosse Sterben der Insekten""",Einfache Anfrage,,Jagd und Vogelschutz,,,Abgeschlossen,Departement für Bau und Umwelt,2,,,
2019-01-09,2019-03-13,16/EA 102/311,311,"Einfache Anfrage von Hanspeter Gantenbein vom 9. Januar 2019 ""Kein MuKEn ohne verbindliche Regelung bei denkmalgeschützten Gebäuden""",Einfache Anfrage,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2019-01-23,2019-03-13,16/MO 31/319,319,"Motion von Lucas Orellano und Ueli Fisch vom 23. Januar 2019 ""Austritt des Kantons Thurgau aus dem Salzregal""",Motion,,Salzregal,,,Abgeschlossen,Departement für Finanzen und Soziales,2,7,9,
2019-02-27,2019-04-24,16/EA 108/329,329,"Einfache Anfrage von Edith Wohlfender, Barbara Dätwyler Weber und Marina Bruggmann vom 27. Februar 2019 ""Neues Versorgungsmodell - Geburtshaus in St. Gallen!""",Einfache Anfrage,,"Kranken- und Unfallversicherung, Vereinbarungen",,,Abgeschlossen,Departement für Finanzen und Soziales,3,,,
2019-03-27,2019-07-03,16/BS 28/331,331,Beschluss des Grossen Rates zum Nachtragskredit (Verpflichtungskredit) 2019,Beschluss,,"Finanzhaushalt, Finanzverwaltung und -kontrolle",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,,,,
2019-03-13,2019-12-18,16/MO 34/332,332,"Motion gemäss § 75 GOGR von Nina Schläfli und Sonja Wiesmann vom 13. März 2019 ""Einführung eines neuen parlamentarischen Vorstosses 'Postulat'""",Motion,,Grosser Rat,,,Abgeschlossen,Grosser Rat,2,35,37,
2019-03-13,2020-08-12,16/IN 43/333,333,"Interpellation von Ruedi Zbinden und Manuel Strupler vom 13. März 2019 ""Kostenkontrolle bei Sozial-Dienstleistungen""",Interpellation,,"Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,Abgeschlossen,Departement für Justiz und Sicherheit,2,55,57,
2019-03-13,2019-05-22,16/EA 109/334,334,"Einfache Anfrage von Peter Bühler vom 13. März 2019 ""Blockchain-Technologie - Eine Alternative für den Kanton Thurgau?""",Einfache Anfrage,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2019-03-13,2019-05-08,16/EA 110/335,335,"Einfache Anfrage von Ueli Fisch und Stefan Leuthold vom 13. März 2019 ""Risiken der Axpo im Bereich des Handels und des Auslandes""",Einfache Anfrage,,EKT (und NOK),,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,,,
2019-04-24,2019-06-19,16/BS 32/342,342,Geschäftsbericht 2018 der Pädagogischen Hochschule Thurgau,Beschluss,,"Hochschulen: Universitäten, Technika, Höhere Fachschule",,,Abgeschlossen,Departement für Erziehung und Kultur,,,,
2019-05-22,2019-05-22,16/WA 68/346,346,Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2019/2020,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2019-05-22,2019-05-22,16/WA 70/348,348,"Amtsgelübde von Madeleine Randacher, Mitglied des Verwaltungsgerichts",Wahlgeschäft,,"Richterliche Behörden, Anwaltswesen",,,Abgeschlossen,Grosser Rat,,,,
2019-05-08,2019-12-18,16/GE 20/350,350,Gesetz betreffend die Änderung des Gesetzes über die Energienutzung (ENG),Gesetz,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,,,,
2019-04-24,2020-08-26,16/MO 35/352,352,"Motion von Barbara Kern und Alex Granato vom 24. April 2019 ""Gesetz zu kantonalen Ergänzungsleistungen für Familien ohne existenzsicherndes Einkommen""",Motion,,"AHV, IV, EL",,,Abgeschlossen,Departement für Finanzen und Soziales,2,36,38,
2019-04-24,2020-08-12,16/MO 36/353,353,"Motion von Lucas Orellano und Stefan Leuthold vom 24. April 2019 ""Stimmrechtsalter 16 im Kanton Thurgau""",Motion,,Jugendpolitik,,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,26,28,
2019-04-24,2019-07-03,16/EA 116/360,360,"Einfache Anfrage von Marianne Sax vom 24. April 2019 ""Gift in unseren Wäldern?""",Einfache Anfrage,,Forstwesen,,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2019-04-24,2019-07-03,16/EA 118/362,362,"Einfache Anfrage von Jürg Wiesli vom 24. April 2019 ""Strahlendes Experiment mit unbekannten Folgen?""",Einfache Anfrage,,"Andere Energien: Gas, Fernwärme, Solarenergie etc.",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2019-04-24,2019-07-03,16/EA 119/363,363,"Einfache Anfrage von Cornelia Zecchinel vom 24. April 2019 ""Stille Verstaatlichung - auch im Thurgau?""",Einfache Anfrage,,Kantonsverfassung und Staatsverträge,,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2019-05-22,2019-05-22,16/WA 73/366,366,Ersatzwahl eines Beobachters oder einer Beobachterin der Gesetzgebungs- und Redaktionskommission für den Rest der Amtsdauer,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2019-05-08,2020-08-12,16/MO 37/369,369,"Motion von Sonja Wiesmann und Nina Schläfli vom 8. Mai 2019 ""Schaffung der gesetzlichen Grundlagen für eine parlamentarische Untersuchungskommission (PUK)""",Motion,,Grosser Rat,,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,52,54,
2019-06-19,2019-08-14,16/EA 123/387,387,"Einfache Anfrage von Maja Bodenmann vom 19. Juni 2019 ""Förderung der 'MINT'-Fähigkeiten und -Fertigkeiten für Schülerinnen und Schüler der Volksschule Thurgau in Zusammenarbeit mit Industrie und Wirtschaft prüfen""",Einfache Anfrage,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,1,,,
2019-06-19,2019-09-11,16/EA 124/388,388,"Einfache Anfrage von Isabelle Altwegg vom 19. Juni 2019 ""Abbau statt Ausbau der Dienstleistungen wegen der Reduktion von fünf auf zwei Zivilstandsämter?""",Einfache Anfrage,,"ZGB, EG/ZGB, Vormundschaft, Waisenämter",,,Abgeschlossen,Departement für Justiz und Sicherheit,1,,,
2019-06-19,2019-08-28,16/EA 126/390,390,"Einfache Anfrage von Ueli Fisch und Stefan Leuthold vom 19. Juni 2019 ""Kompensation von CO2-Emissionen im Kanton Thurgau""",Einfache Anfrage,,"Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,Abgeschlossen,Departement für Bau und Umwelt,2,,,
2019-08-14,2020-05-06,16/BS 38/393,393,"Beschluss des Grossen Rates über die Richtplanänderung ""Windenergie"" (Stand: Juni 2019)",Beschluss,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Bau und Umwelt,,,,
2019-08-14,2020-05-20,16/GE 22/394,394,Gesetz über Aktenführung und Archivierung (ArchivG),Gesetz,,"Archive, Statistik",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,,,,
