datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2013-06-26,,12/IN 11/146,146,Interpellation von Edith Wohlfender vom 26. Juni 2013 'Care Migration im Thurgau',Interpellation,IN,"14.3 Fremdenpolizei, Grenzverkehr, Ausweisschriften",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,38,39,Diskussion
2013-06-26,,12/EA 44/147,147,Einfache Anfrage von Kathrin Erni vom 26. Juni 2013 'Verbesserungspotenzial beim kantonalen Vollzug des Tierschutzgesetzes',Einfache Anfrage,EA,"31.2 Strafverfolgung: Staatsanwaltschaft, Jugendanwaltschaft",,,abgeschlossen,Departement für Justiz und Sicherheit,1,0,1,
2013-09-11,,12/WA 41/149,149,Amtsgelübde von Kantonsrat Jost Rüegg,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2013-08-14,,12/EA 47/152,152,Einfache Anfrage von Turi Schallenberg vom 14. August 2013 'Stand Thurkorrektion zwischen Bürglen und Weinfelden',Einfache Anfrage,EA,"72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2013-08-14,,12/EA 48/153,153,Einfache Anfrage von Walter Schönholzer vom 14. August 2013 'Organspenden im Thurgau',Einfache Anfrage,EA,"81.0 Allgemeines, Organisation, Gesetz, Taxen",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2013-08-14,,12/EA 49/154,154,Einfache Anfrage von Jürg Wiesli vom 14. August 2013 'Kostentransparenz für Projekt MoniThur',Einfache Anfrage,EA,90.0 Wirtschaftliche Entwicklung,,,abgeschlossen,Staatskanzlei,1,0,1,
2013-09-11,,12/EA 55/163,163,Einfache Anfrage von Cornelia Komposch vom 11. September 2013 'Interessenskonflikte des Spar-Experten?',Einfache Anfrage,EA,"61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle",,,abgeschlossen,Departement für Finanzen und Soziales,1,0,1,
2013-09-11,,12/EA 56/164,164,Einfache Anfrage von Hermann Lei vom 11. September 2013 'Carlos im Thurgau?',Einfache Anfrage,EA,"34.2 Anstalten, Massnahmen, Schutzaufsicht, Opferhilfe, Begnadigung",,,abgeschlossen,Departement für Justiz und Sicherheit,1,0,1,
2013-09-11,,12/EA 57/165,165,Einfache Anfrage von Urs Martin vom 11. September 2013 'Konsequenzen des Rundschreibens BAFU/ARE vom 9. April 2013',Einfache Anfrage,EA,"70.2 Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2013-09-30,,12/WA 42/166,166,Amtsgelübde von Kantonsrat Urban Brütsch,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2013-10-23,,12/EB 6/167,167,Kantonsbürgerrechtsgesuche per 23. Oktober 2013,Einbürgerungsgesuch,EB,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
