timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-02-15T16:00:00+00:00,46.3,51.9,2.6,15.9,49.9,3.0,10.9,57.7,1.7,2022-02-15T17:00:00+0100,15.02.2022 17:00:00
2022-02-15T16:30:00+00:00,54.7,41.5,2.2,12.0,49.9,3.7,12.2,47.9,1.8,2022-02-15T17:30:00+0100,15.02.2022 17:30:00
2022-02-15T19:30:00+00:00,9.8,44.5,2.6,0.8,58.1,6.7,11.1,46.9,2.4,2022-02-15T20:30:00+0100,15.02.2022 20:30:00
2022-02-15T21:00:00+00:00,20.3,33.9,8.2,44.6,16.4,9.5,51.4,28.9,4.8,2022-02-15T22:00:00+0100,15.02.2022 22:00:00
2022-02-16T03:00:00+00:00,1.1,51.3,5.2,0.2,39.7,5.0,23.3,22.7,4.1,2022-02-16T04:00:00+0100,16.02.2022 04:00:00
2022-02-16T11:30:00+00:00,74.6,16.0,6.4,57.2,24.7,4.7,50.7,29.3,2.2,2022-02-16T12:30:00+0100,16.02.2022 12:30:00
2022-02-14T02:30:00+00:00,3.1,71.4,9.1,9.8,51.1,7.9,24.3,39.7,7.8,2022-02-14T03:30:00+0100,14.02.2022 03:30:00
2022-02-13T11:30:00+00:00,14.0,65.4,12.8,0.8,55.3,11.6,9.0,52.9,11.9,2022-02-13T12:30:00+0100,13.02.2022 12:30:00
2022-02-14T06:30:00+00:00,74.2,20.5,7.9,58.9,26.5,7.6,62.5,47.3,7.0,2022-02-14T07:30:00+0100,14.02.2022 07:30:00
2022-02-14T07:00:00+00:00,76.9,16.6,7.5,74.0,58.1,10.1,68.7,58.9,6.7,2022-02-14T08:00:00+0100,14.02.2022 08:00:00
2022-02-14T23:00:00+00:00,25.2,18.8,19.1,30.4,12.4,15.5,27.0,15.0,14.8,2022-02-15T00:00:00+0100,15.02.2022 00:00:00
2022-02-15T03:00:00+00:00,4.8,23.3,14.7,20.8,11.6,13.3,27.5,8.4,12.3,2022-02-15T04:00:00+0100,15.02.2022 04:00:00
2022-02-15T01:30:00+00:00,13.0,22.9,15.7,14.9,16.4,13.5,18.9,17.6,14.2,2022-02-15T02:30:00+0100,15.02.2022 02:30:00
2022-02-15T03:30:00+00:00,15.9,20.7,16.2,17.8,12.4,14.3,20.8,11.6,13.7,2022-02-15T04:30:00+0100,15.02.2022 04:30:00
2022-02-15T04:00:00+00:00,19.1,19.9,16.3,16.1,16.0,13.5,19.7,13.2,13.5,2022-02-15T05:00:00+0100,15.02.2022 05:00:00
2022-02-16T13:30:00+00:00,32.3,63.0,0.7,37.1,30.1,3.1,42.1,22.7,2.3,2022-02-16T14:30:00+0100,16.02.2022 14:30:00
2022-02-16T22:30:00+00:00,0.4,72.0,0.2,0.2,57.9,0.6,0.0,66.8,0.4,2022-02-16T23:30:00+0100,16.02.2022 23:30:00
2022-02-17T00:00:00+00:00,5.4,64.6,0.2,1.0,56.1,0.4,1.9,62.4,0.2,2022-02-17T01:00:00+0100,17.02.2022 01:00:00
