date,kategorie,pax,fret,mvt
2022-12-12,Fracht Cargo,0,32.633,3
2022-12-11,Fracht Cargo,0,,
2022-12-11,Andere Kategorien,4,,59
2022-12-09,Passagierverkehr,18528,1.491,150
2022-12-09,Fracht Express,0,143.982,11
2022-12-08,Passagierverkehr,16773,0.566,145
2022-12-08,Fracht Express,0,212.318,18
2022-12-08,Fracht Cargo,0,,
2022-12-07,Fracht Cargo,0,86.656,4
2022-12-06,Passagierverkehr,13528,1.891,128
2022-12-06,Fracht Cargo,0,,
2022-12-06,Andere Kategorien,13,,31
2022-12-05,Passagierverkehr,16698,2.06,132
2022-12-05,Fracht Express,0,190.236,17
2022-12-05,Andere Kategorien,4,,10
2022-12-04,Fracht Express,0,,
2022-12-04,Andere Kategorien,14,,19
2022-12-03,Passagierverkehr,15220,2.265,119
2022-12-02,Passagierverkehr,18852,2.986,154
2022-12-02,Fracht Express,0,159.5,11
2022-12-01,Fracht Express,0,215.254,17
2022-12-01,Andere Kategorien,7,,17
2023-01-31,Passagierverkehr,7796,1.54,78
2023-01-30,Andere Kategorien,4,,54
2023-01-29,Fracht Cargo,0,,
2023-01-28,Fracht Express,0,24.463,2
2023-01-27,Passagierverkehr,14700,3.302,112
2023-01-27,Andere Kategorien,3,,54
2023-01-26,Passagierverkehr,7853,1.955,74
2023-01-26,Andere Kategorien,2,,10
2023-01-24,Andere Kategorien,10,,64
2023-01-23,Passagierverkehr,8520,0.521,78
2023-01-23,Fracht Cargo,0,,
2023-01-22,Fracht Express,0,,
2023-01-22,Andere Kategorien,10,,8
2023-01-20,Fracht Express,0,154.418,11
2023-01-20,Fracht Cargo,0,,
2023-01-19,Fracht Cargo,0,,
2023-01-19,Andere Kategorien,13,,41
2023-01-18,Andere Kategorien,5,,30
2023-01-16,Passagierverkehr,8042,0.529,87
2023-01-16,Fracht Cargo,0,32.395,2
2023-01-16,Andere Kategorien,7,,38
2023-01-15,Andere Kategorien,8,,25
2023-01-14,Fracht Express,0,21.914,2
2023-01-13,Fracht Express,0,158.094,11
2023-01-12,Fracht Express,0,207.434,17
2023-01-12,Fracht Cargo,0,,
2023-01-11,Fracht Cargo,0,64.645,4
2023-01-10,Passagierverkehr,9850,1.283,96
2023-01-09,Andere Kategorien,0,,7
2023-01-08,Fracht Express,0,,
2023-01-07,Andere Kategorien,0,,82
2023-01-06,Passagierverkehr,18687,1.336,145
2023-01-06,Fracht Express,0,127.951,11
2023-01-06,Fracht Cargo,0,,
2023-01-05,Passagierverkehr,20109,3.753,150
2023-01-05,Fracht Express,0,180.573,18
2023-01-05,Andere Kategorien,3,,13
2023-01-04,Andere Kategorien,3,,89
2023-01-03,Fracht Express,0,138.252,18
2023-01-03,Fracht Cargo,0,,
2023-01-03,Andere Kategorien,8,,46
2023-01-02,Passagierverkehr,21612,1.452,146
2023-01-02,Andere Kategorien,5,,27
2023-01-01,Fracht Express,0,,
2023-01-01,Andere Kategorien,0,,45
2023-02-28,Fracht Express,0,197.586,20
2023-02-28,Fracht Cargo,0,,
2023-02-27,Andere Kategorien,13,,32
2023-02-25,Andere Kategorien,6,,38
2023-02-24,Passagierverkehr,20173,1.889,152
2023-02-24,Fracht Express,0,147.429,12
2023-02-24,Andere Kategorien,5,,71
2023-02-23,Andere Kategorien,25,,93
2023-02-22,Fracht Express,0,206.749,20
2023-02-22,Andere Kategorien,5,,49
2023-02-21,Passagierverkehr,15960,2.62,127
2023-02-21,Fracht Cargo,0,,
2023-02-20,Fracht Cargo,0,87.739,2
2023-02-19,Passagierverkehr,20690,0.124,141
2023-02-19,Fracht Express,0,,
2023-02-19,Fracht Cargo,0,,
2023-02-18,Passagierverkehr,19670,2.442,129
2023-02-18,Fracht Express,0,36.694,2
2023-02-18,Andere Kategorien,9,,24
2023-02-17,Passagierverkehr,19646,0.943,139
2023-02-17,Fracht Cargo,0,66.867,4
2023-02-15,Passagierverkehr,13540,0.276,132
2023-02-14,Passagierverkehr,15090,2.433,127
2023-02-14,Fracht Cargo,0,,
2023-02-13,Fracht Cargo,0,89.216,1
2023-02-11,Fracht Express,0,50.354,2
2023-02-10,Passagierverkehr,17595,0.579,129
2023-02-10,Fracht Express,0,160.112,12
2023-02-09,Fracht Express,0,190.321,20
2023-02-09,Fracht Cargo,0,,
2023-02-08,Passagierverkehr,8659,1.012,76
2023-02-08,Andere Kategorien,14,,91
2023-02-07,Passagierverkehr,10664,0.685,101
2023-02-07,Fracht Express,0,196.006,20
2023-02-07,Fracht Cargo,0,,
2023-02-06,Fracht Express,0,172.793,16
2023-02-05,Passagierverkehr,17212,0.708,127
2023-02-04,Passagierverkehr,14797,1.455,111
2023-02-04,Fracht Express,0,34.919,2
2023-02-04,Fracht Cargo,0,104.265,4
2023-02-03,Fracht Express,0,157.063,14
2023-02-02,Fracht Cargo,0,,
2023-02-01,Passagierverkehr,8739,0.802,83
2023-02-01,Fracht Cargo,0,88.527,4
2023-02-01,Andere Kategorien,4,,49
2023-03-31,Passagierverkehr,22464,0.593,171
2023-03-31,Fracht Cargo,0,68.06,2
2023-03-30,Fracht Express,0,198.035,20
2023-03-30,Fracht Cargo,0,,
2023-03-29,Passagierverkehr,15627,1.238,124
2023-03-29,Fracht Cargo,0,88.581,4
2023-03-28,Fracht Express,0,197.014,20
2023-03-27,Fracht Cargo,0,44.709,2
2023-03-24,Fracht Express,0,155.845,12
2023-03-24,Fracht Cargo,0,61.185,2
2023-03-24,Andere Kategorien,2,,25
2023-03-23,Fracht Cargo,0,,
2023-03-23,Andere Kategorien,3,,72
2023-03-22,Andere Kategorien,7,,67
2023-03-21,Fracht Express,0,203.597,19
2023-03-20,Fracht Express,0,174.308,16
2023-03-20,Andere Kategorien,1,,34
2023-03-19,Fracht Cargo,0,,
2023-03-18,Fracht Cargo,0,77.115,4
2023-03-18,Andere Kategorien,5,,73
2023-03-17,Passagierverkehr,20438,0.726,157
2023-03-17,Fracht Cargo,0,64.454,2
2023-03-17,Andere Kategorien,7,,70
2023-03-15,Fracht Cargo,0,68.518,4
2023-03-12,Passagierverkehr,19666,0.761,139
2023-03-12,Fracht Express,0,,
2023-03-11,Passagierverkehr,16067,4.509,110
2023-03-11,Fracht Express,0,26.697,2
2023-03-10,Fracht Cargo,0,63.462,2
2023-03-09,Passagierverkehr,16015,0.544,120
2023-03-09,Fracht Express,0,212.183,19
2023-03-09,Fracht Cargo,0,,
2023-03-08,Fracht Cargo,0,108.156,4
2023-03-06,Fracht Cargo,0,82.204,2
2023-03-02,Passagierverkehr,16184,1.793,126
2023-03-01,Passagierverkehr,12963,0.907,107
2023-04-30,Andere Kategorien,0,,71
2023-04-29,Passagierverkehr,23723,1.662,156
2023-04-29,Andere Kategorien,5,,62
2023-04-28,Fracht Cargo,0,43.068,2
2023-04-27,Passagierverkehr,23647,0.914,162
2023-04-25,Passagierverkehr,21968,0.974,162
2023-04-25,Andere Kategorien,5,,28
2023-04-24,Andere Kategorien,4,,20
2023-04-22,Fracht Express,0,33.456,2
2023-04-21,Andere Kategorien,18,,101
2023-04-19,Fracht Express,0,210.666,21
2023-04-19,Andere Kategorien,9,,67
2023-04-15,Andere Kategorien,8,,30
2023-04-14,Fracht Express,0,154.43,12
2023-04-14,Andere Kategorien,0,,78
2023-04-11,Fracht Cargo,0,,
2023-04-10,Andere Kategorien,3,,60
2023-04-09,Fracht Express,0,,
2023-04-09,Andere Kategorien,0,,51
2023-04-06,Fracht Express,0,213.791,19
2023-04-05,Passagierverkehr,22478,1.863,177
2023-04-04,Fracht Express,0,206.669,19
2023-04-03,Fracht Express,0,188.18,16
2023-04-03,Fracht Cargo,0,,
2023-04-02,Passagierverkehr,22448,1.338,160
2023-04-02,Fracht Express,0,,
2023-04-02,Fracht Cargo,0,,
2023-04-02,Andere Kategorien,15,,98
2023-04-01,Passagierverkehr,18242,2.059,134
2023-04-01,Fracht Cargo,0,123.701,6
2023-05-31,Passagierverkehr,24870,3.27,200
2023-05-31,Fracht Express,0,211.484,20
2023-05-30,Passagierverkehr,23351,0.5,166
2023-05-29,Fracht Cargo,0,,
2023-05-28,Andere Kategorien,2,,50
2023-05-27,Fracht Express,0,35.748,2
2023-05-27,Andere Kategorien,3,,58
2023-05-25,Fracht Express,0,214.188,20
2023-05-24,Fracht Cargo,0,37.622,3
2023-05-23,Fracht Express,0,194.927,22
2023-05-23,Andere Kategorien,6,,26
2023-05-22,Fracht Cargo,0,,
2023-05-20,Fracht Cargo,0,40.591,2
2023-05-20,Andere Kategorien,2,,53
2023-05-19,Fracht Cargo,0,41.741,2
2023-05-17,Fracht Cargo,0,41.804,2
2023-05-15,Passagierverkehr,24799,0.365,182
2023-05-13,Passagierverkehr,22686,3.262,157
2023-05-13,Fracht Express,0,26.967,2
2023-05-13,Andere Kategorien,3,,22
2023-05-12,Fracht Express,0,153.823,13
2023-05-12,Andere Kategorien,13,,49
2023-05-11,Passagierverkehr,21544,1.932,169
2023-05-09,Passagierverkehr,19942,1.121,162
2023-05-09,Fracht Express,0,185.317,20
2023-05-09,Andere Kategorien,16,,57
2023-05-08,Fracht Cargo,0,57.114,4
2023-05-07,Passagierverkehr,27036,0.818,197
2023-05-07,Fracht Cargo,0,,
2023-05-07,Andere Kategorien,5,,68
2023-05-06,Fracht Express,0,35.007,2
2023-05-06,Fracht Cargo,0,100.886,4
2023-05-06,Andere Kategorien,6,,106
2023-05-05,Andere Kategorien,2,,72
2023-05-04,Passagierverkehr,22134,2.272,161
2023-05-03,Fracht Express,0,208.312,20
2023-05-03,Fracht Cargo,0,45.955,2
2023-05-02,Fracht Express,0,168.302,19
2023-05-02,Andere Kategorien,16,,70
2023-06-30,Fracht Cargo,0,78.331,4
2023-06-29,Fracht Express,0,196.262,19
2023-06-28,Passagierverkehr,22592,0.898,186
2023-06-27,Fracht Express,0,204.974,19
2023-06-26,Passagierverkehr,25401,0.69,182
2023-06-25,Andere Kategorien,11,,57
2023-06-24,Passagierverkehr,23379,3.688,159
2023-06-24,Andere Kategorien,11,,65
2023-06-22,Passagierverkehr,21093,0.927,161
2023-06-22,Fracht Cargo,0,17.749,2
2023-06-21,Passagierverkehr,23748,2.955,181
2023-06-21,Fracht Cargo,0,88.456,4
2023-06-20,Fracht Express,0,187.951,19
2023-06-19,Andere Kategorien,2,,62
2023-06-18,Fracht Cargo,0,1.777,1
2023-06-18,Andere Kategorien,7,,42
2023-06-17,Passagierverkehr,23758,1.738,164
2023-06-17,Fracht Express,0,29.905,2
2023-06-17,Fracht Cargo,0,70.019,4
2023-06-15,Andere Kategorien,33,,65
2023-06-14,Fracht Express,0,218.212,20
2023-06-14,Andere Kategorien,12,,43
2023-06-13,Fracht Cargo,0,,
2023-06-12,Andere Kategorien,22,,52
2023-06-11,Passagierverkehr,27079,0.4,196
2023-06-10,Passagierverkehr,24624,0.78,167
2023-06-09,Fracht Express,0,129.765,12
2023-06-09,Andere Kategorien,26,,155
2023-06-08,Passagierverkehr,24677,0.376,174
2023-06-08,Fracht Express,0,174.09,19
2023-06-06,Fracht Express,0,179.346,19
2023-06-05,Passagierverkehr,26344,0.705,195
2023-06-05,Fracht Express,0,188.948,15
2023-06-05,Andere Kategorien,24,,82
2023-06-02,Fracht Cargo,0,43.709,2
2023-06-01,Fracht Express,0,198.526,19
2023-07-30,Fracht Cargo,0,24.707,2
2023-07-29,Fracht Express,0,29.643,2
2023-07-29,Andere Kategorien,6,,32
2023-07-28,Passagierverkehr,30168,0.412,200
2023-07-28,Fracht Cargo,0,68.691,2
2023-07-27,Passagierverkehr,28387,1.239,192
2023-07-27,Fracht Cargo,0,17.618,2
2023-07-26,Passagierverkehr,28113,1.174,191
2023-07-26,Fracht Cargo,0,67.755,4
2023-07-25,Fracht Express,0,167.408,17
2023-07-24,Fracht Cargo,0,,
2023-07-23,Andere Kategorien,10,,48
2023-07-22,Fracht Express,0,23.991,2
2023-07-22,Fracht Cargo,0,108.335,6
2023-07-22,Andere Kategorien,8,,70
2023-07-21,Andere Kategorien,9,,43
2023-07-20,Fracht Express,0,179.256,19
2023-07-18,Passagierverkehr,23716,1.659,172
2023-07-18,Fracht Express,0,180.656,19
2023-07-18,Fracht Cargo,0,,
2023-07-17,Passagierverkehr,28810,0.816,200
2023-07-17,Fracht Express,0,153.898,15
2023-07-17,Andere Kategorien,4,,58
2023-07-15,Passagierverkehr,25519,2.405,172
2023-07-14,Passagierverkehr,28774,2.506,201
2023-07-13,Passagierverkehr,24268,1.789,176
2023-07-12,Passagierverkehr,24172,1.401,184
2023-07-11,Fracht Cargo,0,,
2023-07-10,Passagierverkehr,26490,1.23,193
2023-07-09,Fracht Cargo,0,19.779,2
2023-07-08,Fracht Cargo,0,104.374,4
2023-07-08,Andere Kategorien,3,,89
2023-07-05,Passagierverkehr,22095,2.658,180
2023-07-04,Fracht Express,0,187.941,20
2023-07-04,Fracht Cargo,0,,
2023-07-03,Fracht Express,0,168.065,14
2023-07-02,Passagierverkehr,27722,0.633,191
2023-07-02,Fracht Express,0,,
2023-07-02,Fracht Cargo,0,30.608,2
2023-07-02,Andere Kategorien,15,,58
2023-07-01,Fracht Cargo,0,100.686,4
2023-07-01,Andere Kategorien,12,,44
2023-08-31,Passagierverkehr,25627,2.691,190
2023-08-30,Passagierverkehr,24885,1.4,190
2023-08-30,Fracht Express,0,206.436,19
2023-08-29,Andere Kategorien,6,,33
2023-08-28,Passagierverkehr,26239,2.28,188
2023-08-28,Fracht Express,0,167.917,15
2023-08-27,Passagierverkehr,29662,2.066,206
2023-08-26,Passagierverkehr,26060,1.24,180
2023-08-26,Fracht Cargo,0,105.817,4
2023-08-25,Fracht Cargo,0,,
2023-08-25,Andere Kategorien,13,,31
2023-08-23,Fracht Express,0,178.43,19
2023-08-23,Fracht Cargo,0,78.889,4
2023-08-22,Passagierverkehr,23285,1.977,174
2023-08-20,Fracht Cargo,0,5.921,2
2023-08-19,Fracht Express,0,27.426,2
2023-08-18,Fracht Express,0,122.099,12
2023-08-17,Passagierverkehr,26698,1.237,187
2023-08-17,Fracht Express,0,183.456,19
2023-08-16,Passagierverkehr,26624,1.289,188
2023-08-16,Fracht Express,0,156.223,19
2023-08-15,Fracht Cargo,0,,
2023-08-14,Fracht Cargo,0,,
2023-08-13,Passagierverkehr,32165,0.609,213
2023-08-12,Passagierverkehr,29023,1.406,189
2023-08-12,Fracht Express,0,22.302,2
2023-08-12,Fracht Cargo,0,84.191,4
2023-08-11,Fracht Express,0,133.113,12
2023-08-11,Fracht Cargo,0,45.031,2
2023-08-09,Fracht Express,0,181.219,19
2023-08-09,Fracht Cargo,0,42.831,2
2023-08-08,Passagierverkehr,26214,1.06,177
2023-08-08,Andere Kategorien,1,,71
2023-08-05,Passagierverkehr,28649,0.554,185
2023-08-05,Fracht Cargo,0,72.332,4
2023-08-03,Passagierverkehr,29442,2.453,198
2023-08-03,Fracht Express,0,159.689,19
2023-08-02,Passagierverkehr,28363,1.131,194
2023-08-02,Fracht Cargo,0,33.807,2
2023-08-02,Andere Kategorien,6,,46
2023-08-01,Passagierverkehr,26671,0.466,171
2023-08-01,Fracht Cargo,0,,
2023-09-30,Fracht Express,0,28.077,2
2023-09-30,Fracht Cargo,0,91.467,4
2023-09-29,Fracht Cargo,0,55.23,5
2023-09-27,Passagierverkehr,24821,0.917,192
2023-09-26,Passagierverkehr,22098,2.085,173
2023-09-26,Fracht Express,0,187.869,19
2023-09-26,Fracht Cargo,0,0.569,4
2023-09-24,Passagierverkehr,30544,4.678,202
2023-09-24,Fracht Cargo,0,28.531,2
2023-09-24,Andere Kategorien,1,,69
2023-09-23,Passagierverkehr,24170,3.03,172
2023-09-23,Andere Kategorien,0,,52
2023-09-22,Fracht Cargo,0,66.308,2
2023-09-22,Andere Kategorien,2,,78
2023-09-20,Andere Kategorien,25,,81
2023-09-19,Fracht Cargo,0,,
2023-09-19,Andere Kategorien,10,,54
2023-09-18,Fracht Express,0,167.775,13
2023-09-18,Andere Kategorien,5,,32
2023-09-17,Fracht Express,0,,
2023-09-16,Passagierverkehr,23795,1.102,170
2023-09-16,Fracht Express,0,21.305,2
2023-09-15,Fracht Cargo,0,70.88,2
2023-09-14,Fracht Express,0,197.975,20
2023-09-13,Fracht Cargo,0,73.767,4
2023-09-10,Fracht Express,0,,
2023-09-08,Passagierverkehr,29690,2.97,202
2023-09-06,Passagierverkehr,25054,1.804,204
2023-09-06,Fracht Cargo,0,46.446,4
2023-09-04,Fracht Express,0,145.059,14
2023-09-04,Andere Kategorien,10,,61
2023-09-03,Passagierverkehr,28388,0.727,201
2023-09-03,Fracht Express,0,,
2023-09-02,Passagierverkehr,26411,3.31,183
2023-09-01,Fracht Express,0,143.905,12
2023-09-01,Fracht Cargo,0,41.012,3
2023-10-31,Passagierverkehr,20770,1.725,164
2023-10-31,Fracht Cargo,0,,
2023-10-30,Fracht Cargo,0,39.46,3
2023-10-27,Andere Kategorien,5,,67
2023-10-26,Fracht Express,0,199.332,19
2023-10-26,Andere Kategorien,14,,24
2023-10-25,Passagierverkehr,23864,3.744,184
2023-10-25,Fracht Cargo,0,64.531,5
2023-10-22,Fracht Cargo,0,21.269,2
2023-10-21,Fracht Express,0,30.736,2
2023-10-21,Fracht Cargo,0,106.324,4
2023-10-20,Fracht Express,0,152.791,12
2023-10-19,Fracht Express,0,178.665,17
2023-10-19,Fracht Cargo,0,10.869,2
2023-10-18,Passagierverkehr,22945,2.694,175
2023-10-17,Andere Kategorien,30,,28
2023-10-16,Fracht Express,0,169.223,15
2023-10-16,Fracht Cargo,0,51.067,4
2023-10-15,Fracht Cargo,0,23.096,2
2023-10-13,Fracht Express,0,147.064,12
2023-10-11,Passagierverkehr,24910,2.313,179
2023-10-10,Fracht Express,0,181.214,19
2023-10-09,Fracht Cargo,0,70.231,3
2023-10-08,Passagierverkehr,32166,4.096,212
2023-10-05,Andere Kategorien,9,,66
2023-10-04,Fracht Express,0,170.834,21
2023-10-04,Fracht Cargo,0,74.256,6
2023-10-03,Andere Kategorien,6,,22
2023-10-01,Andere Kategorien,5,,77
2023-11-30,Fracht Cargo,0,26.614,2
2023-11-29,Fracht Cargo,0,79.435,4
2023-11-28,Andere Kategorien,6,,33
2023-11-27,Fracht Express,0,169.699,15
2023-11-26,Passagierverkehr,21801,0.704,154
2023-11-26,Fracht Cargo,0,20.587,2
2023-11-25,Fracht Express,0,40.441,2
2023-11-25,Andere Kategorien,4,,58
2023-11-24,Passagierverkehr,21321,2.93,158
2023-11-24,Fracht Cargo,0,50.314,3
2023-11-24,Andere Kategorien,13,,39
2023-11-23,Passagierverkehr,17616,4.225,135
2023-11-23,Fracht Cargo,0,19.567,2
2023-11-21,Fracht Express,0,202.161,19
2023-11-21,Andere Kategorien,16,,55
2023-11-20,Passagierverkehr,15621,0.74,127
2023-11-20,Fracht Cargo,0,60.611,2
2023-11-20,Andere Kategorien,10,,12
2023-11-19,Fracht Cargo,0,16.375,2
2023-11-18,Passagierverkehr,16637,1.553,125
2023-11-18,Fracht Express,0,32.16,2
2023-11-13,Fracht Express,0,127.702,12
2023-11-13,Fracht Cargo,0,62.616,2
2023-11-12,Passagierverkehr,21854,0.162,159
2023-11-11,Passagierverkehr,16939,3.377,126
2023-11-11,Fracht Cargo,0,93.0,4
2023-11-10,Fracht Cargo,0,53.138,2
2023-11-09,Fracht Cargo,0,26.294,2
2023-11-08,Fracht Cargo,0,24.692,3
2023-11-08,Andere Kategorien,7,,63
2023-11-07,Passagierverkehr,15929,2.393,140
2023-11-07,Fracht Express,0,196.542,19
2023-11-06,Andere Kategorien,2,,54
2023-11-04,Passagierverkehr,20512,1.692,148
2023-11-04,Andere Kategorien,8,,21
2023-11-03,Passagierverkehr,22394,3.801,166
2023-11-03,Andere Kategorien,0,,59
2023-11-02,Passagierverkehr,20536,0.819,160
2023-11-02,Andere Kategorien,3,,23
2023-11-01,Passagierverkehr,19460,2.468,150
2023-11-01,Fracht Cargo,0,91.757,4
2023-11-01,Andere Kategorien,2,,120
2023-12-31,Fracht Express,0,,
2023-12-31,Andere Kategorien,11,,7
2023-12-29,Passagierverkehr,25805,0.136,173
2023-12-28,Andere Kategorien,2,,43
2023-12-26,Passagierverkehr,20616,,146
2023-12-25,Fracht Cargo,0,44.742,2
2023-12-24,Fracht Express,0,,
2023-12-24,Andere Kategorien,0,,2
2023-12-23,Andere Kategorien,11,,20
2023-12-22,Passagierverkehr,25885,1.113,190
2023-12-21,Fracht Express,0,202.215,19
2023-12-21,Andere Kategorien,19,,16
2023-12-20,Fracht Cargo,0,89.909,4
2023-12-19,Passagierverkehr,16537,1.673,154
2023-12-19,Andere Kategorien,18,,96
2023-12-18,Fracht Express,0,194.601,16
2023-12-17,Fracht Express,0,,
2023-12-17,Fracht Cargo,0,32.173,2
2023-12-17,Andere Kategorien,18,,79
2023-12-16,Fracht Cargo,0,76.187,4
2023-12-15,Fracht Express,0,166.31,13
2023-12-14,Passagierverkehr,19926,1.175,154
2023-12-14,Fracht Express,0,214.97,19
2023-12-14,Andere Kategorien,32,,37
2023-12-13,Fracht Cargo,0,80.404,4
2023-12-13,Andere Kategorien,0,,14
2023-12-12,Andere Kategorien,5,,30
2023-12-11,Fracht Express,0,172.065,15
2023-12-09,Andere Kategorien,8,,48
2023-12-08,Andere Kategorien,0,,11
2023-12-07,Fracht Express,0,216.081,19
2023-12-07,Fracht Cargo,0,18.099,2
2023-12-07,Andere Kategorien,0,,50
2023-12-06,Fracht Express,0,211.938,19
2023-12-06,Fracht Cargo,0,82.611,5
2023-12-04,Passagierverkehr,18737,1.004,142
2023-12-02,Fracht Cargo,0,90.409,4
2023-12-01,Fracht Cargo,0,36.632,3
2024-01-30,Passagierverkehr,9365,1.685,89
2024-01-29,Passagierverkehr,11892,0.228,102
2024-01-29,Fracht Express,0,178.702,15
2024-01-29,Fracht Cargo,0,47.371,2
2024-01-28,Andere Kategorien,4,,95
2024-01-26,Passagierverkehr,16094,1.297,121
2024-01-24,Fracht Cargo,0,82.385,4
2024-01-24,Andere Kategorien,14,,20
2024-01-23,Fracht Express,0,194.042,21
2024-01-22,Fracht Cargo,0,28.78,2
2024-01-21,Fracht Express,0,5.648,1
2024-01-20,Andere Kategorien,5,,82
2024-01-19,Fracht Cargo,0,53.572,2
2024-01-18,Passagierverkehr,10608,1.815,86
2024-01-18,Andere Kategorien,4,,18
2024-01-17,Fracht Cargo,0,95.306,4
2024-01-17,Andere Kategorien,19,,16
2024-01-15,Fracht Cargo,0,32.989,2
2024-01-14,Fracht Express,0,,
2024-01-13,Passagierverkehr,12802,2.736,102
2024-01-13,Fracht Cargo,0,75.227,4
2024-01-10,Passagierverkehr,10948,1.687,106
2024-01-08,Fracht Express,0,158.488,15
2024-01-07,Passagierverkehr,23442,0.081,175
2024-01-07,Fracht Express,0,,
2024-01-07,Fracht Cargo,0,,
2024-01-06,Passagierverkehr,21097,1.505,161
2024-01-06,Fracht Express,0,18.291,2
2024-01-05,Fracht Cargo,0,,
2024-01-04,Passagierverkehr,21739,1.983,162
2024-01-03,Passagierverkehr,20751,0.494,149
2024-01-03,Fracht Cargo,0,,
2024-01-02,Andere Kategorien,3,,4
2024-01-01,Fracht Express,0,,
2024-02-29,Fracht Cargo,0,27.958,3
2024-02-29,Andere Kategorien,2,,122
2024-02-28,Passagierverkehr,16522,0.738,135
2024-02-28,Fracht Express,0,200.164,18
2024-02-27,Fracht Express,0,185.43,18
2024-02-27,Andere Kategorien,4,,34
2024-02-26,Passagierverkehr,20051,0.904,153
2024-02-26,Fracht Cargo,0,46.712,2
2024-02-24,Fracht Express,0,48.709,2
2024-02-24,Fracht Cargo,0,94.088,4
2024-02-23,Andere Kategorien,10,,96
2024-02-22,Passagierverkehr,19886,1.179,152
2024-02-22,Fracht Express,0,130.308,18
2024-02-21,Fracht Cargo,0,103.017,4
2024-02-21,Andere Kategorien,5,,41
2024-02-20,Passagierverkehr,15934,0.867,118
2024-02-20,Fracht Express,0,180.998,18
2024-02-19,Passagierverkehr,19978,0.33,151
2024-02-19,Fracht Express,0,147.144,15
2024-02-18,Andere Kategorien,9,,59
2024-02-16,Fracht Express,0,139.1,12
2024-02-14,Passagierverkehr,17449,3.378,137
2024-02-14,Fracht Cargo,0,28.012,2
2024-02-13,Passagierverkehr,15676,1.66,124
2024-02-13,Fracht Express,0,174.552,19
2024-02-13,Fracht Cargo,0,,
2024-02-13,Andere Kategorien,9,,114
2024-02-12,Fracht Cargo,0,44.121,2
2024-02-12,Andere Kategorien,6,,26
2024-02-11,Passagierverkehr,22140,0.992,156
2024-02-11,Fracht Cargo,0,15.018,2
2024-02-11,Andere Kategorien,4,,8
2024-02-10,Passagierverkehr,20396,3.295,142
2024-02-10,Fracht Express,0,21.615,2
2024-02-09,Fracht Cargo,0,37.363,2
2024-02-08,Passagierverkehr,16921,0.994,135
2024-02-08,Fracht Cargo,0,,
2024-02-07,Passagierverkehr,13629,0.192,119
2024-02-07,Fracht Cargo,0,66.419,4
2024-02-07,Andere Kategorien,5,,33
2024-02-05,Fracht Cargo,0,45.333,2
2024-02-04,Passagierverkehr,19332,1.175,135
2024-02-04,Andere Kategorien,5,,57
2024-02-03,Passagierverkehr,14947,2.342,113
2024-02-02,Fracht Express,0,150.297,12
2024-02-02,Fracht Cargo,0,46.72,2
2024-02-01,Passagierverkehr,12262,0.978,104
2024-02-01,Fracht Express,0,178.76,19
2024-03-31,Fracht Cargo,0,,
2024-03-30,Fracht Cargo,0,78.486,4
2024-03-28,Passagierverkehr,21947,0.724,162
2024-03-27,Passagierverkehr,20247,1.565,153
2024-03-27,Fracht Express,0,217.416,18
2024-03-26,Andere Kategorien,18,,109
2024-03-25,Passagierverkehr,21400,1.299,163
2024-03-25,Fracht Express,0,163.466,13
2024-03-24,Passagierverkehr,22991,0.747,159
2024-03-24,Fracht Express,0,,
2024-03-24,Andere Kategorien,2,,19
2024-03-23,Andere Kategorien,0,,17
2024-03-21,Fracht Express,0,195.429,18
2024-03-21,Andere Kategorien,4,,70
2024-03-20,Fracht Express,0,200.427,18
2024-03-19,Passagierverkehr,16140,1.524,131
2024-03-19,Fracht Express,0,189.203,18
2024-03-19,Fracht Cargo,0,,
2024-03-18,Passagierverkehr,19537,0.644,152
2024-03-18,Fracht Cargo,0,69.672,2
2024-03-18,Andere Kategorien,5,,11
2024-03-17,Passagierverkehr,22886,0.233,168
2024-03-17,Fracht Express,0,,
2024-03-17,Andere Kategorien,10,,117
2024-03-16,Passagierverkehr,20065,1.945,151
2024-03-16,Andere Kategorien,0,,36
2024-03-15,Fracht Cargo,0,62.358,2
2024-03-13,Fracht Cargo,0,92.356,6
2024-03-13,Andere Kategorien,6,,75
2024-03-12,Passagierverkehr,15957,1.331,126
2024-03-12,Andere Kategorien,3,,38
2024-03-10,Andere Kategorien,4,,28
2024-03-09,Fracht Express,0,35.178,2
2024-03-08,Passagierverkehr,22921,2.388,157
2024-03-08,Fracht Express,0,144.406,13
2024-03-06,Fracht Cargo,0,104.643,4
2024-03-06,Andere Kategorien,5,,18
2024-03-04,Passagierverkehr,20511,1.24,157
2024-03-03,Fracht Cargo,0,,
2024-03-02,Passagierverkehr,20770,1.218,147
2024-03-02,Andere Kategorien,9,,90
2024-03-01,Fracht Cargo,0,87.004,2
2024-04-30,Fracht Express,0,186.011,18
2024-04-29,Fracht Cargo,0,54.723,2
2024-04-28,Passagierverkehr,25952,1.553,179
2024-04-27,Passagierverkehr,28122,2.533,187
2024-04-27,Fracht Express,0,33.659,2
2024-04-27,Andere Kategorien,0,,93
2024-04-26,Passagierverkehr,31117,0.878,209
2024-04-25,Fracht Express,0,181.274,18
2024-04-25,Andere Kategorien,3,,28
2024-04-24,Fracht Express,0,192.87,18
2024-04-23,Passagierverkehr,23538,3.34,177
