anfangszeit,pm25,zeitstempel_text
2021-03-07T17:30:00+00:00,18.9,07.03.2021 18:30:00
2021-03-08T01:30:00+00:00,28.1,08.03.2021 02:30:00
2021-03-08T02:30:00+00:00,29.1,08.03.2021 03:30:00
2021-03-08T06:00:00+00:00,24.9,08.03.2021 07:00:00
2021-03-08T11:00:00+00:00,28.0,08.03.2021 12:00:00
2021-03-08T15:00:00+00:00,20.2,08.03.2021 16:00:00
2021-03-08T19:00:00+00:00,16.7,08.03.2021 20:00:00
2021-03-08T19:30:00+00:00,16.9,08.03.2021 20:30:00
2021-03-08T22:30:00+00:00,17.4,08.03.2021 23:30:00
2021-03-09T05:30:00+00:00,21.1,09.03.2021 06:30:00
2021-03-09T19:00:00+00:00,28.5,09.03.2021 20:00:00
2021-03-09T21:30:00+00:00,31.3,09.03.2021 22:30:00
2021-03-09T23:00:00+00:00,27.3,10.03.2021 00:00:00
2021-03-10T04:30:00+00:00,24.9,10.03.2021 05:30:00
2021-03-10T08:30:00+00:00,34.9,10.03.2021 09:30:00
2021-03-10T12:30:00+00:00,16.8,10.03.2021 13:30:00
2021-03-10T15:00:00+00:00,12.9,10.03.2021 16:00:00
2021-03-10T22:00:00+00:00,21.8,10.03.2021 23:00:00
2021-03-10T22:30:00+00:00,21.0,10.03.2021 23:30:00
2021-03-11T02:30:00+00:00,17.2,11.03.2021 03:30:00
2021-03-11T03:00:00+00:00,17.7,11.03.2021 04:00:00
2021-03-11T04:30:00+00:00,17.0,11.03.2021 05:30:00
2021-03-11T06:00:00+00:00,15.8,11.03.2021 07:00:00
2021-03-11T07:00:00+00:00,12.0,11.03.2021 08:00:00
2021-03-11T10:00:00+00:00,0.8,11.03.2021 11:00:00
2021-03-11T19:30:00+00:00,1.0,11.03.2021 20:30:00
2021-03-12T07:00:00+00:00,1.7,12.03.2021 08:00:00
2021-03-12T08:00:00+00:00,1.9,12.03.2021 09:00:00
2021-03-12T18:00:00+00:00,1.7,12.03.2021 19:00:00
2021-03-13T02:00:00+00:00,0.9,13.03.2021 03:00:00
2021-03-13T03:00:00+00:00,0.6,13.03.2021 04:00:00
2021-03-13T05:00:00+00:00,0.9,13.03.2021 06:00:00
2021-03-13T17:30:00+00:00,0.8,13.03.2021 18:30:00
2021-03-13T18:30:00+00:00,1.0,13.03.2021 19:30:00
2021-03-14T03:30:00+00:00,0.7,14.03.2021 04:30:00
2021-03-14T08:00:00+00:00,1.0,14.03.2021 09:00:00
2021-03-14T10:30:00+00:00,1.4,14.03.2021 11:30:00
2021-03-14T16:00:00+00:00,1.5,14.03.2021 17:00:00
2021-03-14T18:00:00+00:00,2.2,14.03.2021 19:00:00
2021-03-15T04:30:00+00:00,1.9,15.03.2021 05:30:00
2021-03-15T05:00:00+00:00,1.6,15.03.2021 06:00:00
2021-03-15T10:30:00+00:00,0.5,15.03.2021 11:30:00
2021-03-15T13:00:00+00:00,1.8,15.03.2021 14:00:00
2021-03-15T14:30:00+00:00,1.2,15.03.2021 15:30:00
2021-03-15T17:00:00+00:00,2.7,15.03.2021 18:00:00
2021-03-15T20:00:00+00:00,3.3,15.03.2021 21:00:00
2021-03-16T03:00:00+00:00,5.1,16.03.2021 04:00:00
2021-03-16T06:00:00+00:00,5.0,16.03.2021 07:00:00
2021-03-16T08:00:00+00:00,4.1,16.03.2021 09:00:00
2021-03-16T12:30:00+00:00,2.2,16.03.2021 13:30:00
2021-03-16T18:00:00+00:00,2.6,16.03.2021 19:00:00
2021-03-16T23:30:00+00:00,5.0,17.03.2021 00:30:00
2021-03-17T03:30:00+00:00,8.3,17.03.2021 04:30:00
2021-03-17T08:00:00+00:00,7.9,17.03.2021 09:00:00
2021-03-17T11:00:00+00:00,4.9,17.03.2021 12:00:00
2021-03-17T12:00:00+00:00,5.2,17.03.2021 13:00:00
2021-03-17T16:30:00+00:00,1.6,17.03.2021 17:30:00
2021-03-17T17:00:00+00:00,3.4,17.03.2021 18:00:00
2021-03-17T21:30:00+00:00,7.6,17.03.2021 22:30:00
2021-03-18T03:00:00+00:00,4.1,18.03.2021 04:00:00
2021-03-18T04:30:00+00:00,8.7,18.03.2021 05:30:00
2021-03-18T09:30:00+00:00,12.2,18.03.2021 10:30:00
2021-03-18T15:00:00+00:00,3.6,18.03.2021 16:00:00
2021-03-18T22:00:00+00:00,8.6,18.03.2021 23:00:00
2021-03-18T22:30:00+00:00,8.4,18.03.2021 23:30:00
2021-03-19T00:00:00+00:00,8.0,19.03.2021 01:00:00
2021-03-19T04:00:00+00:00,13.0,19.03.2021 05:00:00
2021-03-19T06:30:00+00:00,14.6,19.03.2021 07:30:00
2021-03-19T17:00:00+00:00,7.0,19.03.2021 18:00:00
2021-03-19T22:00:00+00:00,11.0,19.03.2021 23:00:00
2021-03-20T00:00:00+00:00,11.1,20.03.2021 01:00:00
2021-03-20T01:30:00+00:00,11.5,20.03.2021 02:30:00
2021-03-20T05:30:00+00:00,23.1,20.03.2021 06:30:00
2021-03-20T06:30:00+00:00,24.3,20.03.2021 07:30:00
2021-03-20T15:30:00+00:00,5.2,20.03.2021 16:30:00
2021-03-20T18:00:00+00:00,6.5,20.03.2021 19:00:00
2021-03-20T23:00:00+00:00,12.3,21.03.2021 00:00:00
2021-03-21T02:30:00+00:00,13.1,21.03.2021 03:30:00
2021-03-21T03:00:00+00:00,14.4,21.03.2021 04:00:00
2021-03-21T06:30:00+00:00,10.6,21.03.2021 07:30:00
2021-03-21T08:00:00+00:00,9.3,21.03.2021 09:00:00
2021-03-21T08:30:00+00:00,9.6,21.03.2021 09:30:00
2021-03-21T09:00:00+00:00,9.6,21.03.2021 10:00:00
2021-03-21T11:30:00+00:00,7.8,21.03.2021 12:30:00
2021-03-21T17:30:00+00:00,10.1,21.03.2021 18:30:00
2021-03-21T19:00:00+00:00,11.4,21.03.2021 20:00:00
2021-03-21T19:30:00+00:00,11.7,21.03.2021 20:30:00
2021-03-21T21:00:00+00:00,13.1,21.03.2021 22:00:00
2021-03-22T01:30:00+00:00,20.8,22.03.2021 02:30:00
2021-03-22T03:30:00+00:00,15.6,22.03.2021 04:30:00
2021-03-22T17:00:00+00:00,6.3,22.03.2021 18:00:00
2021-03-22T18:00:00+00:00,6.3,22.03.2021 19:00:00
2021-03-22T23:30:00+00:00,11.7,23.03.2021 00:30:00
2021-03-23T00:00:00+00:00,12.1,23.03.2021 01:00:00
2021-03-23T07:30:00+00:00,12.2,23.03.2021 08:30:00
2021-03-23T10:30:00+00:00,8.4,23.03.2021 11:30:00
2021-03-23T13:00:00+00:00,6.8,23.03.2021 14:00:00
2021-03-23T15:30:00+00:00,6.1,23.03.2021 16:30:00
2021-03-23T23:00:00+00:00,12.7,24.03.2021 00:00:00
