timestamp,wasserstand,abfluss,methode,ausgegeben_an,meteolauf,gemessene_werten_bis,h_min,h_p25,h_p50,h_p75,h_max,q_min,q_p25,q_p50,q_p75,q_max
2026-05-27T21:00:00+00:00,245.29,704.8,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.29,245.29,245.29,245.29,245.29,704.8,704.8,704.8,704.8,704.8
2026-05-27T23:00:00+00:00,245.22,657.9,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.22,245.22,245.22,245.22,245.22,657.9,657.9,657.9,657.9,657.9
2026-05-28T00:00:00+00:00,245.26,684.6,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.26,245.26,245.26,245.26,245.26,684.6,684.6,684.6,684.6,684.6
2026-05-28T06:00:00+00:00,245.2,640.7,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.2,245.2,245.2,245.2,245.2,640.7,640.7,640.7,640.7,640.7
2026-05-28T11:00:00+00:00,245.2,644.2,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.2,245.2,245.2,245.2,245.2,644.2,644.2,644.2,644.2,644.2
2026-05-28T13:00:00+00:00,245.22,653.6,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.22,245.22,245.22,245.22,245.22,653.6,653.6,653.6,653.6,653.6
2026-05-28T15:00:00+00:00,245.16,617.0,gemessen,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.16,245.16,245.16,245.16,245.16,617.0,617.0,617.0,617.0,617.0
2026-05-28T21:00:00+00:00,245.28,696.3,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.28,245.28,245.28,245.28,245.28,696.2,696.3,696.3,696.3,696.3
2026-05-28T23:00:00+00:00,245.27,691.2,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.27,245.27,245.27,245.27,245.27,691.2,691.2,691.2,691.2,691.2
2026-05-29T06:00:00+00:00,245.24,668.0,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,667.6,667.8,668.0,668.0,668.1
2026-05-29T11:00:00+00:00,245.26,685.5,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.26,245.26,245.26,245.26,245.26,684.2,684.7,685.3,685.9,686.3
2026-05-29T12:00:00+00:00,245.26,685.9,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.26,245.26,245.26,245.26,245.26,684.7,685.2,685.6,686.4,686.7
2026-05-29T13:00:00+00:00,245.26,684.8,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.26,245.26,245.26,245.26,245.26,683.6,684.0,684.5,685.5,685.7
2026-05-29T16:00:00+00:00,245.25,679.1,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.25,245.25,245.25,245.25,245.25,678.0,678.5,678.8,679.8,680.1
2026-05-29T19:00:00+00:00,245.25,674.2,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.25,245.25,245.25,245.25,673.5,673.9,674.1,674.8,675.0
2026-05-29T23:00:00+00:00,245.24,669.9,ICON-CH1-EPS,2026-05-28T20:34:00+00:00,2026-05-28T14:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,669.4,669.9,669.9,670.3,670.7
