timestamp,wasserstand,abfluss,methode,ausgegeben_an,meteolauf,gemessene_werten_bis,h_min,h_p25,h_p50,h_p75,h_max,q_min,q_p25,q_p50,q_p75,q_max
2026-05-28T23:00:00+00:00,245.27,691.1,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.25,245.25,245.25,245.25,245.25,675.4,675.4,675.4,675.4,675.4
2026-05-29T01:00:00+00:00,245.25,675.4,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,670.4,670.4,670.4,670.5,670.5
2026-05-29T03:00:00+00:00,245.24,668.9,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,668.3,668.4,668.4,668.5,668.7
2026-05-29T05:00:00+00:00,245.24,668.6,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,671.2,671.3,671.3,671.4,671.7
2026-05-29T07:00:00+00:00,245.24,667.5,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,671.3,671.6,671.7,671.9,672.5
2026-05-29T08:00:00+00:00,245.24,670.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,672.2,672.5,672.6,672.9,673.4
2026-05-29T13:00:00+00:00,245.26,684.2,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.26,245.26,245.26,245.26,245.26,684.6,685.2,685.4,685.6,686.3
2026-05-29T17:00:00+00:00,245.25,676.7,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.25,245.25,245.25,245.25,245.25,678.2,678.5,678.7,678.8,679.2
2026-05-29T20:00:00+00:00,245.24,672.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.25,245.25,245.25,245.25,245.25,674.0,674.3,674.3,674.5,674.8
2026-05-29T23:00:00+00:00,245.24,669.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,670.7,670.9,671.0,671.2,671.5
2026-05-30T02:00:00+00:00,245.24,667.9,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,669.0,669.2,669.4,669.5,669.9
2026-05-30T04:00:00+00:00,245.24,667.6,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,668.6,668.8,669.0,669.1,669.5
2026-05-30T09:00:00+00:00,245.24,667.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,668.0,668.2,668.5,668.7,669.0
2026-05-30T10:00:00+00:00,245.24,670.1,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,670.8,671.0,671.2,671.5,671.8
2026-05-30T11:00:00+00:00,245.24,671.9,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,672.5,672.8,673.1,673.2,673.6
2026-05-30T14:00:00+00:00,245.24,668.9,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.24,245.24,245.24,245.24,245.24,669.3,669.6,669.9,670.1,670.7
2026-05-30T19:00:00+00:00,245.23,661.4,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.23,245.23,245.23,245.23,245.23,662.0,662.4,662.6,662.8,663.3
2026-05-30T20:00:00+00:00,245.23,660.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.23,245.23,245.23,245.23,245.23,660.9,661.4,661.5,661.7,662.3
2026-05-31T02:00:00+00:00,245.21,648.2,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.21,245.21,245.21,245.21,245.21,647.5,648.5,649.3,649.9,650.7
2026-05-31T06:00:00+00:00,245.2,644.2,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.2,245.2,245.2,245.2,245.21,643.2,644.7,645.4,645.8,646.8
2026-05-31T10:00:00+00:00,245.19,636.5,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,636.0,637.1,637.7,638.0,639.0
2026-05-31T11:00:00+00:00,245.19,636.1,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,635.4,636.4,636.9,637.4,638.2
2026-05-31T12:00:00+00:00,245.19,636.0,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,634.8,636.1,636.6,636.9,638.4
2026-05-31T13:00:00+00:00,245.19,636.0,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,634.6,635.8,636.2,636.8,638.0
2026-05-31T14:00:00+00:00,245.19,635.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,634.5,635.5,636.2,636.6,637.8
2026-05-31T15:00:00+00:00,245.19,635.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,634.3,635.4,636.1,636.6,637.7
2026-05-31T16:00:00+00:00,245.19,635.6,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,634.0,635.2,635.7,636.2,637.4
2026-05-31T17:00:00+00:00,245.19,635.4,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.19,245.19,245.19,245.19,245.19,633.5,634.9,635.3,636.4,637.2
2026-05-31T19:00:00+00:00,245.19,633.9,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.18,245.19,245.19,245.19,245.19,631.8,633.5,634.1,635.8,638.4
2026-05-31T22:00:00+00:00,245.19,633.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.18,245.18,245.18,245.19,245.19,628.5,630.2,631.7,633.5,639.0
2026-05-31T23:00:00+00:00,245.19,633.6,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.18,245.18,245.18,245.19,245.2,627.6,629.3,631.3,633.7,639.5
2026-06-01T02:00:00+00:00,245.18,631.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.18,245.18,245.18,245.19,245.2,625.4,628.3,631.5,635.5,643.5
2026-06-01T05:00:00+00:00,245.18,631.2,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.17,245.18,245.19,245.2,245.22,624.7,628.8,634.6,642.8,654.9
2026-06-01T07:00:00+00:00,245.18,631.3,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.17,245.18,245.19,245.2,245.22,623.4,630.3,633.8,644.8,655.8
2026-06-01T08:00:00+00:00,245.18,629.4,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.17,245.18,245.19,245.2,245.21,620.8,628.6,633.1,643.7,653.0
2026-06-01T15:00:00+00:00,245.18,629.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.16,245.18,245.19,245.21,245.23,616.5,626.1,634.9,650.7,666.0
2026-06-01T21:00:00+00:00,245.19,632.4,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.16,245.18,245.19,245.22,245.29,614.8,625.7,635.4,657.0,705.6
2026-06-02T04:00:00+00:00,245.2,640.6,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.16,245.18,245.2,245.22,245.33,616.9,627.6,640.2,654.5,729.6
2026-06-02T08:00:00+00:00,245.21,647.8,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.17,245.18,245.2,245.23,245.34,621.0,632.0,645.8,661.1,738.7
2026-06-02T11:00:00+00:00,245.22,659.7,ICON-CH2-EPS,2026-05-28T20:34:00+00:00,2026-05-28T11:26:00+00:00,2026-05-28T19:26:00+00:00,245.18,245.2,245.22,245.24,245.35,628.3,639.5,656.7,669.3,746.4
2026-05-28T20:00:00+00:00,245.28,700.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-28T23:00:00+00:00,245.27,691.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T01:00:00+00:00,245.25,675.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T04:00:00+00:00,245.24,668.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T05:00:00+00:00,245.24,668.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T09:00:00+00:00,245.25,676.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T14:00:00+00:00,245.26,683.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T17:00:00+00:00,245.25,677.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T19:00:00+00:00,245.25,674.8,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-29T21:00:00+00:00,245.24,672.4,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T02:00:00+00:00,245.24,668.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T03:00:00+00:00,245.24,668.4,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T06:00:00+00:00,245.24,667.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T08:00:00+00:00,245.23,666.4,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T10:00:00+00:00,245.24,671.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T13:00:00+00:00,245.24,671.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T18:00:00+00:00,245.23,662.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T19:00:00+00:00,245.23,661.4,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-30T22:00:00+00:00,245.22,658.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T00:00:00+00:00,245.22,656.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T03:00:00+00:00,245.21,650.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T04:00:00+00:00,245.21,648.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T05:00:00+00:00,245.21,646.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T09:00:00+00:00,245.19,639.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T11:00:00+00:00,245.19,637.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T12:00:00+00:00,245.19,636.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T16:00:00+00:00,245.19,634.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T18:00:00+00:00,245.19,633.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T19:00:00+00:00,245.18,632.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-05-31T23:00:00+00:00,245.18,626.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T00:00:00+00:00,245.18,626.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T01:00:00+00:00,245.18,625.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T02:00:00+00:00,245.18,625.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T04:00:00+00:00,245.18,626.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T05:00:00+00:00,245.18,626.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T06:00:00+00:00,245.18,627.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T07:00:00+00:00,245.18,627.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T08:00:00+00:00,245.18,626.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T10:00:00+00:00,245.18,628.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T13:00:00+00:00,245.18,630.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T18:00:00+00:00,245.18,630.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T19:00:00+00:00,245.18,629.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-01T22:00:00+00:00,245.18,627.6,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T00:00:00+00:00,245.17,623.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T01:00:00+00:00,245.17,622.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T02:00:00+00:00,245.17,620.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T04:00:00+00:00,245.17,619.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T07:00:00+00:00,245.17,620.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T11:00:00+00:00,245.18,628.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T15:00:00+00:00,245.18,625.7,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T16:00:00+00:00,245.18,625.6,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T18:00:00+00:00,245.17,625.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T20:00:00+00:00,245.17,624.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-02T23:00:00+00:00,245.17,623.5,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T00:00:00+00:00,245.17,623.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T02:00:00+00:00,245.17,623.6,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T03:00:00+00:00,245.17,624.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T07:00:00+00:00,245.19,635.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T12:00:00+00:00,245.21,647.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T17:00:00+00:00,245.21,646.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T19:00:00+00:00,245.2,645.3,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-03T20:00:00+00:00,245.2,644.8,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T04:00:00+00:00,245.2,640.8,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T07:00:00+00:00,245.2,641.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T09:00:00+00:00,245.2,644.4,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T10:00:00+00:00,245.21,646.2,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T14:00:00+00:00,245.21,647.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T15:00:00+00:00,245.21,647.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T20:00:00+00:00,245.2,645.9,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-04T22:00:00+00:00,245.2,646.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-05T03:00:00+00:00,245.22,654.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-05T04:00:00+00:00,245.22,656.8,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-05T06:00:00+00:00,245.23,664.0,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
2026-06-05T07:00:00+00:00,245.24,668.1,IFS,2026-05-28T20:34:00+00:00,2026-05-27T23:26:00+00:00,2026-05-28T19:26:00+00:00,,,,,,,,,,
