datum,jahr,monat,frosttag,eistag,sommertag,hitzetag,sonnenlos,regen1,regen2,regen3,schneefall,schneedecke,reif,nebel,gewitter1,gewitter2,hagel,hell,trueb,wind1,wind2,heiztage
2010-03,2010,März,9,1,0,0,4,15,15,10,5,4,4,0,0,0.0,0,2,15,7,0,27.0
2010-02,2010,Februar,12,6,0,0,9,24,19,12,8,11,2,2,0,0.0,0,0,19,5,1,28.0
2010-01,2010,Januar,24,10,0,0,15,18,17,12,16,18,4,3,0,0.0,0,0,21,1,0,31.0
2009-12,2009,Dezember,12,7,0,0,13,22,21,16,8,6,6,1,0,0.0,0,1,24,5,0,31.0
2009-10,2009,Oktober,1,0,1,0,3,13,13,9,0,0,3,5,0,0.0,0,0,15,1,0,21.0
2009-06,2009,Juni,0,0,9,1,1,16,12,11,0,0,0,1,4,4.0,0,2,7,1,0,0.0
2009-01,2009,Januar,24,10,0,0,7,6,6,4,3,12,14,4,0,0.0,0,6,15,4,1,31.0
2008-12,2008,Dezember,16,2,0,0,15,13,12,9,7,11,9,6,0,0.0,0,3,20,5,0,31.0
2008-11,2008,November,6,1,0,0,8,10,9,5,2,2,5,2,0,0.0,0,2,17,2,0,30.0
2008-08,2008,August,0,0,12,1,2,13,12,11,0,0,0,0,2,2.0,0,2,10,2,0,0.0
2008-01,2008,Januar,10,1,0,0,9,15,13,11,1,0,11,1,0,0.0,0,1,18,3,0,31.0
2007-12,2007,Dezember,17,1,0,0,9,12,12,11,1,0,9,4,0,0.0,0,3,15,6,1,31.0
2007-10,2007,Oktober,1,0,2,0,6,5,3,3,0,0,4,9,0,0.0,0,3,14,0,0,21.0
2007-09,2007,September,0,0,3,0,2,10,8,8,0,0,0,3,0,0.0,0,1,8,0,0,8.0
2007-07,2007,Juli,0,0,16,3,0,16,16,15,0,0,0,0,3,3.0,1,6,9,6,0,0.0
2007-03,2007,März,4,0,0,0,3,14,13,12,7,4,10,2,0,0.0,0,6,15,6,0,31.0
2007-01,2007,Januar,8,3,0,0,9,16,14,10,4,6,3,1,0,0.0,0,1,20,9,0,28.0
2006-12,2006,Dezember,17,0,0,0,4,13,12,10,0,0,17,2,0,0.0,0,8,9,4,0,31.0
2006-11,2006,November,6,0,0,0,3,13,11,9,0,0,7,3,0,0.0,0,2,14,1,0,28.0
2006-08,2006,August,0,0,3,0,2,23,21,19,0,0,0,0,2,2.0,0,2,14,3,0,6.0
2006-06,2006,Juni,0,0,19,6,1,12,10,7,0,0,0,0,4,4.0,0,5,6,2,0,0.0
2006-02,2006,Februar,16,3,0,0,11,14,11,8,7,9,6,2,1,1.0,0,1,19,3,0,29.0
2005-05,2005,Mai,0,0,8,3,1,19,18,15,0,0,1,1,1,1.0,0,2,10,3,0,10.0
2005-02,2005,Februar,23,4,0,0,7,13,11,8,11,9,8,3,0,0.0,0,3,16,3,1,28.0
2005-01,2005,Januar,17,5,0,0,7,13,13,6,3,7,12,2,0,0.0,0,8,11,4,0,31.0
2004-07,2004,Juli,0,0,16,5,0,14,10,9,0,0,0,0,3,3.0,1,6,12,1,0,0.0
2004-06,2004,Juni,0,0,10,3,2,15,12,10,0,0,0,0,0,0.0,0,2,13,2,0,0.0
2004-05,2004,Mai,0,0,5,0,5,14,13,12,0,0,0,0,0,0.0,0,5,14,1,0,10.0
2004-01,2004,Januar,16,2,0,0,15,22,18,15,9,12,6,2,0,0.0,0,0,23,8,0,31.0
2003-04,2003,April,5,0,2,0,2,12,12,8,2,1,5,1,0,0.0,0,6,12,2,0,
2002-12,2002,Dezember,7,1,0,0,20,18,17,11,1,2,1,2,0,0.0,0,1,19,5,0,
2002-10,2002,Oktober,0,0,0,0,4,17,17,14,0,0,1,4,0,0.0,0,0,17,3,0,
2002-08,2002,August,0,0,13,1,2,15,15,14,0,0,0,2,1,1.0,0,6,14,0,0,
2002-04,2002,April,2,0,0,0,3,12,11,6,0,0,10,1,0,0.0,0,3,12,2,0,
2002-03,2002,März,7,0,0,0,5,9,7,5,1,0,12,2,0,0.0,0,6,13,4,0,
2002-01,2002,Januar,20,5,0,0,6,9,7,3,1,18,14,3,0,0.0,0,5,13,1,0,
2001-09,2001,September,0,0,0,0,4,21,20,13,0,0,0,2,1,1.0,0,0,20,3,0,
2001-04,2001,April,2,0,0,0,3,22,19,18,3,0,1,0,1,1.0,0,0,17,5,0,
2001-03,2001,März,2,0,0,0,10,26,25,24,2,3,2,1,2,2.0,0,0,22,10,0,
2001-01,2001,Januar,13,0,0,0,12,17,17,13,2,0,9,4,0,0.0,0,2,18,4,0,
2000-09,2000,September,0,0,8,0,1,9,8,6,0,0,0,0,0,0.0,0,3,8,2,0,
